#: table_doi: 10.17182/hepdata.90835.v1/t46
#: name: T2tt cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T2tt signal model as a function of the top squark and LSP masses.
#: data_file: t2tt_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: Upper Limit,Observed
#: LUMINOSITY [fb$^{-1}$],137
M(STOP) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
157.23,622.18,0.0
157.23,629.36,0.0
157.23,636.54,0.0
157.23,643.72,0.0
157.23,650.9,0.0
157.23,658.08,0.0
157.23,665.27,0.0
157.23,672.45,0.0
157.23,679.63,0.0
157.23,686.81,0.0
157.23,693.99,0.0
157.23,701.17,0.0
157.23,708.35,0.0
157.23,715.53,0.0
157.23,722.72,0.0
157.23,729.9,0.0
157.23,737.08,0.0
157.23,744.26,0.0
157.23,751.44,0.0
157.23,758.62,0.0
157.23,765.8,0.0
157.23,772.98,0.0
157.23,780.17,0.0
157.23,787.35,0.0
157.23,794.53,0.0
157.23,801.71,0.0
157.23,808.89,0.0
157.23,816.07,0.0
157.23,823.25,0.0
157.23,830.43,0.0
157.23,837.62,0.0
157.23,844.8,0.0
157.23,851.98,0.0
157.23,859.16,0.0
157.23,866.34,0.0
157.23,873.52,0.0
157.23,880.7,0.0
157.23,887.88,0.0
157.23,895.07,0.0
157.23,902.25,0.0
157.23,909.43,0.0
157.23,916.61,0.0
157.23,923.79,0.0
157.23,930.97,0.0
157.23,938.15,0.0
157.23,945.33,0.0
157.23,952.52,0.0
157.23,959.7,0.0
157.23,966.88,0.0
157.23,974.06,0.0
157.23,981.24,0.0
157.23,988.42,0.0
157.23,995.6,0.0
157.23,1002.8,0.0
157.23,1010.0,0.0
157.23,1017.1,0.0
157.23,1024.3,0.0
157.23,1031.5,0.0
157.23,1038.7,0.0
157.23,1045.9,0.0
157.23,1053.1,0.0
157.23,1060.2,0.0
157.23,1067.4,0.0
157.23,1074.6,0.0
157.23,1081.8,0.0
157.23,1089.0,0.0
157.23,1096.1,0.0
157.23,1103.3,0.0
157.23,1110.5,0.0
157.23,1117.7,0.0
157.23,1124.9,0.0
157.23,1132.0,0.0
157.23,1139.2,0.0
157.23,1146.4,0.0
171.68,4.5906,83.196
171.68,11.772,78.685
171.68,18.953,74.175
171.68,26.134,65.621
171.68,33.316,68.186
171.68,40.497,64.424
171.68,47.678,60.663
171.68,54.859,54.121
171.68,62.041,49.946
171.68,69.222,45.771
171.68,76.403,42.135
171.68,83.584,39.252
171.68,90.766,0.0
171.68,97.947,0.0
171.68,105.13,0.0
171.68,112.31,0.0
171.68,119.49,0.0
171.68,126.67,0.0
171.68,133.85,0.0
171.68,141.03,0.0
171.68,148.22,0.0
171.68,155.4,0.0
171.68,162.58,0.0
171.68,169.76,0.0
171.68,176.94,0.0
171.68,184.12,0.0
171.68,191.3,0.0
171.68,198.48,0.0
171.68,205.67,0.0
171.68,212.85,0.0
171.68,220.03,0.0
171.68,227.21,0.0
171.68,234.39,0.0
171.68,241.57,0.0
171.68,248.75,0.0
171.68,255.93,0.0
171.68,263.12,0.0
171.68,270.3,0.0
171.68,277.48,0.0
171.68,284.66,0.0
171.68,291.84,0.0
171.68,299.02,0.0
171.68,306.2,0.0
171.68,313.38,0.0
171.68,320.57,0.0
171.68,327.75,0.0
171.68,334.93,0.0
171.68,342.11,0.0
171.68,349.29,0.0
171.68,356.47,0.0
171.68,363.65,0.0
171.68,370.83,0.0
171.68,378.02,0.0
171.68,385.2,0.0
171.68,392.38,0.0
171.68,399.56,0.0
171.68,406.74,0.0
171.68,413.92,0.0
171.68,421.1,0.0
171.68,428.28,0.0
171.68,435.47,0.0
171.68,442.65,0.0
171.68,449.83,0.0
171.68,457.01,0.0
171.68,464.19,0.0
171.68,471.37,0.0
171.68,478.55,0.0
171.68,485.73,0.0
171.68,492.92,0.0
171.68,500.1,0.0
171.68,507.28,0.0
171.68,514.46,0.0
171.68,521.64,0.0
171.68,528.82,0.0
171.68,536.0,0.0
171.68,543.18,0.0
171.68,550.37,0.0
171.68,557.55,0.0
171.68,564.73,0.0
171.68,571.91,0.0
171.68,579.09,0.0
171.68,586.27,0.0
171.68,593.45,0.0
171.68,600.63,0.0
171.68,607.82,0.0
171.68,615.0,0.0
171.68,622.18,0.0
171.68,629.36,0.0
171.68,636.54,0.0
171.68,643.72,0.0
171.68,650.9,0.0
171.68,658.08,0.0
171.68,665.27,0.0
171.68,672.45,0.0
171.68,679.63,0.0
171.68,686.81,0.0
171.68,693.99,0.0
171.68,701.17,0.0
171.68,708.35,0.0
171.68,715.53,0.0
171.68,722.72,0.0
171.68,729.9,0.0
171.68,737.08,0.0
171.68,744.26,0.0
171.68,751.44,0.0
171.68,758.62,0.0
171.68,765.8,0.0
171.68,772.98,0.0
171.68,780.17,0.0
171.68,787.35,0.0
171.68,794.53,0.0
171.68,801.71,0.0
171.68,808.89,0.0
171.68,816.07,0.0
171.68,823.25,0.0
171.68,830.43,0.0
171.68,837.62,0.0
171.68,844.8,0.0
171.68,851.98,0.0
171.68,859.16,0.0
171.68,866.34,0.0
171.68,873.52,0.0
171.68,880.7,0.0
171.68,887.88,0.0
171.68,895.07,0.0
171.68,902.25,0.0
171.68,909.43,0.0
171.68,916.61,0.0
171.68,923.79,0.0
171.68,930.97,0.0
171.68,938.15,0.0
171.68,945.33,0.0
171.68,952.52,0.0
171.68,959.7,0.0
171.68,966.88,0.0
171.68,974.06,0.0
171.68,981.24,0.0
171.68,988.42,0.0
171.68,995.6,0.0
171.68,1002.8,0.0
171.68,1010.0,0.0
171.68,1017.1,0.0
171.68,1024.3,0.0
171.68,1031.5,0.0
171.68,1038.7,0.0
171.68,1045.9,0.0
171.68,1053.1,0.0
171.68,1060.2,0.0
171.68,1067.4,0.0
171.68,1074.6,0.0
171.68,1081.8,0.0
171.68,1089.0,0.0
171.68,1096.1,0.0
171.68,1103.3,0.0
171.68,1110.5,0.0
171.68,1117.7,0.0
171.68,1124.9,0.0
171.68,1132.0,0.0
171.68,1139.2,0.0
171.68,1146.4,0.0
186.13,4.5906,95.035
186.13,11.772,90.524
186.13,18.953,91.993
186.13,26.134,95.393
186.13,33.316,91.631
186.13,40.497,80.928
186.13,47.678,46.581
186.13,54.859,34.62
186.13,62.041,32.989
186.13,69.222,28.813
186.13,76.403,24.891
186.13,83.584,22.516
186.13,90.766,22.291
186.13,97.947,21.845
186.13,105.13,0.0
186.13,112.31,0.0
186.13,119.49,0.0
186.13,126.67,0.0
186.13,133.85,0.0
186.13,141.03,0.0
186.13,148.22,0.0
186.13,155.4,0.0
186.13,162.58,0.0
186.13,169.76,0.0
186.13,176.94,0.0
186.13,184.12,0.0
186.13,191.3,0.0
186.13,198.48,0.0
186.13,205.67,0.0
186.13,212.85,0.0
186.13,220.03,0.0
186.13,227.21,0.0
186.13,234.39,0.0
186.13,241.57,0.0
186.13,248.75,0.0
186.13,255.93,0.0
186.13,263.12,0.0
186.13,270.3,0.0
186.13,277.48,0.0
186.13,284.66,0.0
186.13,291.84,0.0
186.13,299.02,0.0
186.13,306.2,0.0
186.13,313.38,0.0
186.13,320.57,0.0
186.13,327.75,0.0
186.13,334.93,0.0
186.13,342.11,0.0
186.13,349.29,0.0
186.13,356.47,0.0
186.13,363.65,0.0
186.13,370.83,0.0
186.13,378.02,0.0
186.13,385.2,0.0
186.13,392.38,0.0
186.13,399.56,0.0
186.13,406.74,0.0
186.13,413.92,0.0
186.13,421.1,0.0
186.13,428.28,0.0
186.13,435.47,0.0
186.13,442.65,0.0
186.13,449.83,0.0
186.13,457.01,0.0
186.13,464.19,0.0
186.13,471.37,0.0
186.13,478.55,0.0
186.13,485.73,0.0
186.13,492.92,0.0
186.13,500.1,0.0
186.13,507.28,0.0
186.13,514.46,0.0
186.13,521.64,0.0
186.13,528.82,0.0
186.13,536.0,0.0
186.13,543.18,0.0
186.13,550.37,0.0
186.13,557.55,0.0
186.13,564.73,0.0
186.13,571.91,0.0
186.13,579.09,0.0
186.13,586.27,0.0
186.13,593.45,0.0
186.13,600.63,0.0
186.13,607.82,0.0
186.13,615.0,0.0
186.13,622.18,0.0
186.13,629.36,0.0
186.13,636.54,0.0
186.13,643.72,0.0
186.13,650.9,0.0
186.13,658.08,0.0
186.13,665.27,0.0
186.13,672.45,0.0
186.13,679.63,0.0
186.13,686.81,0.0
186.13,693.99,0.0
186.13,701.17,0.0
186.13,708.35,0.0
186.13,715.53,0.0
186.13,722.72,0.0
186.13,729.9,0.0
186.13,737.08,0.0
186.13,744.26,0.0
186.13,751.44,0.0
186.13,758.62,0.0
186.13,765.8,0.0
186.13,772.98,0.0
186.13,780.17,0.0
186.13,787.35,0.0
186.13,794.53,0.0
186.13,801.71,0.0
186.13,808.89,0.0
186.13,816.07,0.0
186.13,823.25,0.0
186.13,830.43,0.0
186.13,837.62,0.0
186.13,844.8,0.0
186.13,851.98,0.0
186.13,859.16,0.0
186.13,866.34,0.0
186.13,873.52,0.0
186.13,880.7,0.0
186.13,887.88,0.0
186.13,895.07,0.0
186.13,902.25,0.0
186.13,909.43,0.0
186.13,916.61,0.0
186.13,923.79,0.0
186.13,930.97,0.0
186.13,938.15,0.0
186.13,945.33,0.0
186.13,952.52,0.0
186.13,959.7,0.0
186.13,966.88,0.0
186.13,974.06,0.0
186.13,981.24,0.0
186.13,988.42,0.0
186.13,995.6,0.0
186.13,1002.8,0.0
186.13,1010.0,0.0
186.13,1017.1,0.0
186.13,1024.3,0.0
186.13,1031.5,0.0
186.13,1038.7,0.0
186.13,1045.9,0.0
186.13,1053.1,0.0
186.13,1060.2,0.0
186.13,1067.4,0.0
186.13,1074.6,0.0
186.13,1081.8,0.0
186.13,1089.0,0.0
186.13,1096.1,0.0
186.13,1103.3,0.0
186.13,1110.5,0.0
186.13,1117.7,0.0
186.13,1124.9,0.0
186.13,1132.0,0.0
186.13,1139.2,0.0
186.13,1146.4,0.0
200.59,4.5906,122.57
200.59,11.772,127.32
200.59,18.953,132.06
200.59,26.134,130.51
200.59,33.316,96.164
200.59,40.497,61.817
200.59,47.678,27.47
200.59,54.859,18.272
200.59,62.041,17.009
200.59,69.222,15.745
200.59,76.403,14.086
200.59,83.584,13.861
200.59,90.766,13.637
200.59,97.947,13.412
200.59,105.13,12.947
200.59,112.31,12.377
200.59,119.49,0.0
200.59,126.67,0.0
200.59,133.85,0.0
200.59,141.03,0.0
200.59,148.22,0.0
200.59,155.4,0.0
200.59,162.58,0.0
200.59,169.76,0.0
200.59,176.94,0.0
200.59,184.12,0.0
200.59,191.3,0.0
200.59,198.48,0.0
200.59,205.67,0.0
200.59,212.85,0.0
200.59,220.03,0.0
200.59,227.21,0.0
200.59,234.39,0.0
200.59,241.57,0.0
200.59,248.75,0.0
200.59,255.93,0.0
200.59,263.12,0.0
200.59,270.3,0.0
200.59,277.48,0.0
200.59,284.66,0.0
200.59,291.84,0.0
200.59,299.02,0.0
200.59,306.2,0.0
200.59,313.38,0.0
200.59,320.57,0.0
200.59,327.75,0.0
200.59,334.93,0.0
200.59,342.11,0.0
200.59,349.29,0.0
200.59,356.47,0.0
200.59,363.65,0.0
200.59,370.83,0.0
200.59,378.02,0.0
200.59,385.2,0.0
200.59,392.38,0.0
200.59,399.56,0.0
200.59,406.74,0.0
200.59,413.92,0.0
200.59,421.1,0.0
200.59,428.28,0.0
200.59,435.47,0.0
200.59,442.65,0.0
200.59,449.83,0.0
200.59,457.01,0.0
200.59,464.19,0.0
200.59,471.37,0.0
200.59,478.55,0.0
200.59,485.73,0.0
200.59,492.92,0.0
200.59,500.1,0.0
200.59,507.28,0.0
200.59,514.46,0.0
200.59,521.64,0.0
200.59,528.82,0.0
200.59,536.0,0.0
200.59,543.18,0.0
200.59,550.37,0.0
200.59,557.55,0.0
200.59,564.73,0.0
200.59,571.91,0.0
200.59,579.09,0.0
200.59,586.27,0.0
200.59,593.45,0.0
200.59,600.63,0.0
200.59,607.82,0.0
200.59,615.0,0.0
200.59,622.18,0.0
200.59,629.36,0.0
200.59,636.54,0.0
200.59,643.72,0.0
200.59,650.9,0.0
200.59,658.08,0.0
200.59,665.27,0.0
200.59,672.45,0.0
200.59,679.63,0.0
200.59,686.81,0.0
200.59,693.99,0.0
200.59,701.17,0.0
200.59,708.35,0.0
200.59,715.53,0.0
200.59,722.72,0.0
200.59,729.9,0.0
200.59,737.08,0.0
200.59,744.26,0.0
200.59,751.44,0.0
200.59,758.62,0.0
200.59,765.8,0.0
200.59,772.98,0.0
200.59,780.17,0.0
200.59,787.35,0.0
200.59,794.53,0.0
200.59,801.71,0.0
200.59,808.89,0.0
200.59,816.07,0.0
200.59,823.25,0.0
200.59,830.43,0.0
200.59,837.62,0.0
200.59,844.8,0.0
200.59,851.98,0.0
200.59,859.16,0.0
200.59,866.34,0.0
200.59,873.52,0.0
200.59,880.7,0.0
200.59,887.88,0.0
200.59,895.07,0.0
200.59,902.25,0.0
200.59,909.43,0.0
200.59,916.61,0.0
200.59,923.79,0.0
200.59,930.97,0.0
200.59,938.15,0.0
200.59,945.33,0.0
200.59,952.52,0.0
200.59,959.7,0.0
200.59,966.88,0.0
200.59,974.06,0.0
200.59,981.24,0.0
200.59,988.42,0.0
200.59,995.6,0.0
200.59,1002.8,0.0
200.59,1010.0,0.0
200.59,1017.1,0.0
200.59,1024.3,0.0
200.59,1031.5,0.0
200.59,1038.7,0.0
200.59,1045.9,0.0
200.59,1053.1,0.0
200.59,1060.2,0.0
200.59,1067.4,0.0
200.59,1074.6,0.0
200.59,1081.8,0.0
200.59,1089.0,0.0
200.59,1096.1,0.0
200.59,1103.3,0.0
200.59,1110.5,0.0
200.59,1117.7,0.0
200.59,1124.9,0.0
200.59,1132.0,0.0
200.59,1139.2,0.0
200.59,1146.4,0.0
215.04,4.5906,67.77
215.04,11.772,72.268
215.04,18.953,75.554
215.04,26.134,72.895
215.04,33.316,38.547
215.04,40.497,30.305
215.04,47.678,29.821
215.04,54.859,28.81
215.04,62.041,25.42
215.04,69.222,16.815
215.04,76.403,9.8481
215.04,83.584,9.6236
215.04,90.766,9.4625
215.04,97.947,9.3165
215.04,105.13,8.8678
215.04,112.31,8.932
215.04,119.49,9.0007
215.04,126.67,8.8536
215.04,133.85,0.0
215.04,141.03,0.0
215.04,148.22,0.0
215.04,155.4,0.0
215.04,162.58,0.0
215.04,169.76,0.0
215.04,176.94,0.0
215.04,184.12,0.0
215.04,191.3,0.0
215.04,198.48,0.0
215.04,205.67,0.0
215.04,212.85,0.0
215.04,220.03,0.0
215.04,227.21,0.0
215.04,234.39,0.0
215.04,241.57,0.0
215.04,248.75,0.0
215.04,255.93,0.0
215.04,263.12,0.0
215.04,270.3,0.0
215.04,277.48,0.0
215.04,284.66,0.0
215.04,291.84,0.0
215.04,299.02,0.0
215.04,306.2,0.0
215.04,313.38,0.0
215.04,320.57,0.0
215.04,327.75,0.0
215.04,334.93,0.0
215.04,342.11,0.0
215.04,349.29,0.0
215.04,356.47,0.0
215.04,363.65,0.0
215.04,370.83,0.0
215.04,378.02,0.0
215.04,385.2,0.0
215.04,392.38,0.0
215.04,399.56,0.0
215.04,406.74,0.0
215.04,413.92,0.0
215.04,421.1,0.0
215.04,428.28,0.0
215.04,435.47,0.0
215.04,442.65,0.0
215.04,449.83,0.0
215.04,457.01,0.0
215.04,464.19,0.0
215.04,471.37,0.0
215.04,478.55,0.0
215.04,485.73,0.0
215.04,492.92,0.0
215.04,500.1,0.0
215.04,507.28,0.0
215.04,514.46,0.0
215.04,521.64,0.0
215.04,528.82,0.0
215.04,536.0,0.0
215.04,543.18,0.0
215.04,550.37,0.0
215.04,557.55,0.0
215.04,564.73,0.0
215.04,571.91,0.0
215.04,579.09,0.0
215.04,586.27,0.0
215.04,593.45,0.0
215.04,600.63,0.0
215.04,607.82,0.0
215.04,615.0,0.0
215.04,622.18,0.0
215.04,629.36,0.0
215.04,636.54,0.0
215.04,643.72,0.0
215.04,650.9,0.0
215.04,658.08,0.0
215.04,665.27,0.0
215.04,672.45,0.0
215.04,679.63,0.0
215.04,686.81,0.0
215.04,693.99,0.0
215.04,701.17,0.0
215.04,708.35,0.0
215.04,715.53,0.0
215.04,722.72,0.0
215.04,729.9,0.0
215.04,737.08,0.0
215.04,744.26,0.0
215.04,751.44,0.0
215.04,758.62,0.0
215.04,765.8,0.0
215.04,772.98,0.0
215.04,780.17,0.0
215.04,787.35,0.0
215.04,794.53,0.0
215.04,801.71,0.0
215.04,808.89,0.0
215.04,816.07,0.0
215.04,823.25,0.0
215.04,830.43,0.0
215.04,837.62,0.0
215.04,844.8,0.0
215.04,851.98,0.0
215.04,859.16,0.0
215.04,866.34,0.0
215.04,873.52,0.0
215.04,880.7,0.0
215.04,887.88,0.0
215.04,895.07,0.0
215.04,902.25,0.0
215.04,909.43,0.0
215.04,916.61,0.0
215.04,923.79,0.0
215.04,930.97,0.0
215.04,938.15,0.0
215.04,945.33,0.0
215.04,952.52,0.0
215.04,959.7,0.0
215.04,966.88,0.0
215.04,974.06,0.0
215.04,981.24,0.0
215.04,988.42,0.0
215.04,995.6,0.0
215.04,1002.8,0.0
215.04,1010.0,0.0
215.04,1017.1,0.0
215.04,1024.3,0.0
215.04,1031.5,0.0
215.04,1038.7,0.0
215.04,1045.9,0.0
215.04,1053.1,0.0
215.04,1060.2,0.0
215.04,1067.4,0.0
215.04,1074.6,0.0
215.04,1081.8,0.0
215.04,1089.0,0.0
215.04,1096.1,0.0
215.04,1103.3,0.0
215.04,1110.5,0.0
215.04,1117.7,0.0
215.04,1124.9,0.0
215.04,1132.0,0.0
215.04,1139.2,0.0
215.04,1146.4,0.0
229.49,4.5906,24.703
229.49,11.772,27.693
229.49,18.953,30.979
229.49,26.134,33.865
229.49,33.316,33.961
229.49,40.497,33.478
229.49,47.678,32.994
229.49,54.859,27.015
229.49,62.041,18.41
229.49,69.222,9.8052
229.49,76.403,8.3434
229.49,83.584,6.366
229.49,90.766,6.22
229.49,97.947,6.074
229.49,105.13,6.0813
229.49,112.31,6.15
229.49,119.49,6.2188
229.49,126.67,6.1038
229.49,133.85,5.9324
229.49,141.03,5.9342
229.49,148.22,0.0
229.49,155.4,0.0
229.49,162.58,0.0
229.49,169.76,0.0
229.49,176.94,0.0
229.49,184.12,0.0
229.49,191.3,0.0
229.49,198.48,0.0
229.49,205.67,0.0
229.49,212.85,0.0
229.49,220.03,0.0
229.49,227.21,0.0
229.49,234.39,0.0
229.49,241.57,0.0
229.49,248.75,0.0
229.49,255.93,0.0
229.49,263.12,0.0
229.49,270.3,0.0
229.49,277.48,0.0
229.49,284.66,0.0
229.49,291.84,0.0
229.49,299.02,0.0
229.49,306.2,0.0
229.49,313.38,0.0
229.49,320.57,0.0
229.49,327.75,0.0
229.49,334.93,0.0
229.49,342.11,0.0
229.49,349.29,0.0
229.49,356.47,0.0
229.49,363.65,0.0
229.49,370.83,0.0
229.49,378.02,0.0
229.49,385.2,0.0
229.49,392.38,0.0
229.49,399.56,0.0
229.49,406.74,0.0
229.49,413.92,0.0
229.49,421.1,0.0
229.49,428.28,0.0
229.49,435.47,0.0
229.49,442.65,0.0
229.49,449.83,0.0
229.49,457.01,0.0
229.49,464.19,0.0
229.49,471.37,0.0
229.49,478.55,0.0
229.49,485.73,0.0
229.49,492.92,0.0
229.49,500.1,0.0
229.49,507.28,0.0
229.49,514.46,0.0
229.49,521.64,0.0
229.49,528.82,0.0
229.49,536.0,0.0
229.49,543.18,0.0
229.49,550.37,0.0
229.49,557.55,0.0
229.49,564.73,0.0
229.49,571.91,0.0
229.49,579.09,0.0
229.49,586.27,0.0
229.49,593.45,0.0
229.49,600.63,0.0
229.49,607.82,0.0
229.49,615.0,0.0
229.49,622.18,0.0
229.49,629.36,0.0
229.49,636.54,0.0
229.49,643.72,0.0
229.49,650.9,0.0
229.49,658.08,0.0
229.49,665.27,0.0
229.49,672.45,0.0
229.49,679.63,0.0
229.49,686.81,0.0
229.49,693.99,0.0
229.49,701.17,0.0
229.49,708.35,0.0
229.49,715.53,0.0
229.49,722.72,0.0
229.49,729.9,0.0
229.49,737.08,0.0
229.49,744.26,0.0
229.49,751.44,0.0
229.49,758.62,0.0
229.49,765.8,0.0
229.49,772.98,0.0
229.49,780.17,0.0
229.49,787.35,0.0
229.49,794.53,0.0
229.49,801.71,0.0
229.49,808.89,0.0
229.49,816.07,0.0
229.49,823.25,0.0
229.49,830.43,0.0
229.49,837.62,0.0
229.49,844.8,0.0
229.49,851.98,0.0
229.49,859.16,0.0
229.49,866.34,0.0
229.49,873.52,0.0
229.49,880.7,0.0
229.49,887.88,0.0
229.49,895.07,0.0
229.49,902.25,0.0
229.49,909.43,0.0
229.49,916.61,0.0
229.49,923.79,0.0
229.49,930.97,0.0
229.49,938.15,0.0
229.49,945.33,0.0
229.49,952.52,0.0
229.49,959.7,0.0
229.49,966.88,0.0
229.49,974.06,0.0
229.49,981.24,0.0
229.49,988.42,0.0
229.49,995.6,0.0
229.49,1002.8,0.0
229.49,1010.0,0.0
229.49,1017.1,0.0
229.49,1024.3,0.0
229.49,1031.5,0.0
229.49,1038.7,0.0
229.49,1045.9,0.0
229.49,1053.1,0.0
229.49,1060.2,0.0
229.49,1067.4,0.0
229.49,1074.6,0.0
229.49,1081.8,0.0
229.49,1089.0,0.0
229.49,1096.1,0.0
229.49,1103.3,0.0
229.49,1110.5,0.0
229.49,1117.7,0.0
229.49,1124.9,0.0
229.49,1132.0,0.0
229.49,1139.2,0.0
229.49,1146.4,0.0
243.95,4.5906,14.734
243.95,11.772,15.076
243.95,18.953,15.419
243.95,26.134,18.209
243.95,33.316,18.966
243.95,40.497,19.723
243.95,47.678,19.835
243.95,54.859,13.856
243.95,62.041,13.676
243.95,69.222,15.177
243.95,76.403,15.525
243.95,83.584,11.122
243.95,90.766,6.7182
243.95,97.947,4.6871
243.95,105.13,4.6944
243.95,112.31,4.5853
243.95,119.49,4.4498
243.95,126.67,4.306
243.95,133.85,4.2987
243.95,141.03,4.3339
243.95,148.22,4.3931
243.95,155.4,4.5813
243.95,162.58,0.0
243.95,169.76,0.0
243.95,176.94,0.0
243.95,184.12,0.0
243.95,191.3,0.0
243.95,198.48,0.0
243.95,205.67,0.0
243.95,212.85,0.0
243.95,220.03,0.0
243.95,227.21,0.0
243.95,234.39,0.0
243.95,241.57,0.0
243.95,248.75,0.0
243.95,255.93,0.0
243.95,263.12,0.0
243.95,270.3,0.0
243.95,277.48,0.0
243.95,284.66,0.0
243.95,291.84,0.0
243.95,299.02,0.0
243.95,306.2,0.0
243.95,313.38,0.0
243.95,320.57,0.0
243.95,327.75,0.0
243.95,334.93,0.0
243.95,342.11,0.0
243.95,349.29,0.0
243.95,356.47,0.0
243.95,363.65,0.0
243.95,370.83,0.0
243.95,378.02,0.0
243.95,385.2,0.0
243.95,392.38,0.0
243.95,399.56,0.0
243.95,406.74,0.0
243.95,413.92,0.0
243.95,421.1,0.0
243.95,428.28,0.0
243.95,435.47,0.0
243.95,442.65,0.0
243.95,449.83,0.0
243.95,457.01,0.0
243.95,464.19,0.0
243.95,471.37,0.0
243.95,478.55,0.0
243.95,485.73,0.0
243.95,492.92,0.0
243.95,500.1,0.0
243.95,507.28,0.0
243.95,514.46,0.0
243.95,521.64,0.0
243.95,528.82,0.0
243.95,536.0,0.0
243.95,543.18,0.0
243.95,550.37,0.0
243.95,557.55,0.0
243.95,564.73,0.0
243.95,571.91,0.0
243.95,579.09,0.0
243.95,586.27,0.0
243.95,593.45,0.0
243.95,600.63,0.0
243.95,607.82,0.0
243.95,615.0,0.0
243.95,622.18,0.0
243.95,629.36,0.0
243.95,636.54,0.0
243.95,643.72,0.0
243.95,650.9,0.0
243.95,658.08,0.0
243.95,665.27,0.0
243.95,672.45,0.0
243.95,679.63,0.0
243.95,686.81,0.0
243.95,693.99,0.0
243.95,701.17,0.0
243.95,708.35,0.0
243.95,715.53,0.0
243.95,722.72,0.0
243.95,729.9,0.0
243.95,737.08,0.0
243.95,744.26,0.0
243.95,751.44,0.0
243.95,758.62,0.0
243.95,765.8,0.0
243.95,772.98,0.0
243.95,780.17,0.0
243.95,787.35,0.0
243.95,794.53,0.0
243.95,801.71,0.0
243.95,808.89,0.0
243.95,816.07,0.0
243.95,823.25,0.0
243.95,830.43,0.0
243.95,837.62,0.0
243.95,844.8,0.0
243.95,851.98,0.0
243.95,859.16,0.0
243.95,866.34,0.0
243.95,873.52,0.0
243.95,880.7,0.0
243.95,887.88,0.0
243.95,895.07,0.0
243.95,902.25,0.0
243.95,909.43,0.0
243.95,916.61,0.0
243.95,923.79,0.0
243.95,930.97,0.0
243.95,938.15,0.0
243.95,945.33,0.0
243.95,952.52,0.0
243.95,959.7,0.0
243.95,966.88,0.0
243.95,974.06,0.0
243.95,981.24,0.0
243.95,988.42,0.0
243.95,995.6,0.0
243.95,1002.8,0.0
243.95,1010.0,0.0
243.95,1017.1,0.0
243.95,1024.3,0.0
243.95,1031.5,0.0
