#: table_doi: 10.17182/hepdata.82212.v1/t5
#: name: Table 5
#: description: <b>Exclusion contour (obs)</b> Expected (solid blue line) and observed (solid red line) exclusion-limit contours at 95% confidence level in the plane of top-squark and tau-slepton mass for the simplified model, obtained from the statistical combination of the lep-had and had-had channels, using full experimental and theory systematic uncertainties except the theoretical uncertainty in the signal cross section.  The yellow band shows one-standard-deviation variations around the expected limit contour. The dotted red lines indicate how the observed limit moves when varying the signal cross section up or down by the corresponding uncertainty in the theoretical value.  For comparison, the plot also shows the observed exclusion contour from the ATLAS Run-1 analysis as the area shaded in gray and the limit on the mass of the tau slepton (for a massless LSP) from the LEP experiments as a green band.
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: 
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
#'$m(\tilde{t}_{1})$ [GeV]','$m(\tilde{\tau}_{1})$ [GeV]'
1154.5,993.2
1156.8,982.8
1155.7,972.4
1153.8,962.0
1152.4,954.7
1151.9,951.6
1150.2,941.2
1148.6,930.8
1146.9,920.4
1145.2,910.0
1145.2,909.9
1144.4,899.6
1145.2,894.7
1146.3,889.2
1147.9,878.8
1149.6,868.4
1151.3,858.0
1152.4,851.4
1153.2,847.6
1155.2,837.2
1157.2,826.8
1159.3,816.4
1159.6,814.8
1161.3,806.0
1163.4,795.6
1164.3,785.2
1163.9,774.8
1163.1,764.4
1161.6,754.0
1159.6,744.7
1159.4,743.6
1157.2,733.2
1155.0,722.8
1152.7,712.4
1152.4,710.8
1150.8,702.0
1148.8,691.6
1146.8,681.2
1145.2,670.8
1145.2,670.8
1143.6,660.4
1142.1,650.0
1140.5,639.6
1139.0,629.2
1138.0,622.8
1137.4,618.8
1135.8,608.4
1134.3,598.0
1132.6,587.6
1130.8,579.7
1130.2,577.2
1127.9,566.8
1125.6,556.4
1123.6,547.2
1123.4,546.0
1122.0,535.6
1120.8,525.2
1119.6,514.8
1118.4,504.4
1117.3,494.0
1116.4,488.7
1115.6,483.6
1113.5,473.2
1110.5,462.8
1109.2,459.3
1106.2,452.4
1102.0,443.0
1101.7,442.0
1098.4,431.6
1095.1,421.2
1094.8,420.1
1092.1,410.8
1088.8,400.4
1087.6,397.1
1085.2,390.0
1085.1,379.6
1085.0,369.2
1084.9,358.8
1084.8,348.4
1084.7,338.0
1084.5,327.6
1082.2,317.2
1080.4,313.4
1076.7,306.8
1073.2,300.6
1070.8,296.4
1066.0,289.0
1064.1,286.0
1058.8,279.2
1056.1,275.6
1051.6,269.2
1050.2,265.2
1046.7,254.8
1044.4,247.9
1043.4,244.4
1040.3,234.0
1037.3,223.6
1037.2,223.4
1030.0,214.8
1027.5,213.2
1022.8,210.2
1015.6,205.7
1011.0,202.8
1008.4,201.1
1001.2,196.6
998.2,192.4
994.1,182.0
994.0,181.7
991.9,171.6
989.5,161.2
987.7,150.8
986.8,145.3
986.0,140.4
984.2,130.0
982.4,119.6
980.6,109.2
979.6,103.3
978.8,98.8
978.8,88.4
978.8,78.0
978.8,67.6
978.8,57.2
978.8,46.8
972.4,46.4
965.2,46.0
958.0,45.7
950.8,45.3
943.6,44.8
936.4,44.5
929.2,44.3
922.0,44.1
914.8,43.9
907.6,43.8
900.4,43.6
893.2,43.4
886.0,43.3
878.8,43.1
871.6,43.0
864.4,42.8
857.2,42.7
850.0,42.5
842.8,42.3
835.6,42.1
828.4,42.0
821.2,41.9
814.0,41.8
806.8,41.7
799.6,41.6
792.4,41.3
785.2,41.1
