#: table_doi: 10.17182/hepdata.81626.v1/t31
#: name: Acceptance/Efficiency 2
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-H}$ for the signal models of the gluino-bino GGM grid.
#: data_file: data31.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],ACCEPTANCE
1200.0,500.0,0.18386
1300.0,600.0,0.23881
1400.0,700.0,0.28241
1500.0,10.0,0.03525
1500.0,50.0,0.03719
1500.0,200.0,0.09488
1500.0,500.0,0.23009
1500.0,800.0,0.31064
1500.0,1100.0,0.35823
1500.0,1300.0,0.3723
1500.0,1400.0,0.38488
1500.0,1450.0,0.37437
1500.0,1490.0,0.37306
1600.0,10.0,0.04073
1600.0,50.0,0.04528
1600.0,300.0,0.14673
1600.0,600.0,0.27498
1600.0,900.0,0.33568
1600.0,1200.0,0.38197
1600.0,1400.0,0.38715
1600.0,1500.0,0.39182
1600.0,1550.0,0.3923
1600.0,1590.0,0.39354
1700.0,10.0,0.04395
1700.0,50.0,0.04555
1700.0,200.0,0.09821
1700.0,400.0,0.19112
1700.0,700.0,0.29614
1700.0,1000.0,0.35694
1700.0,1300.0,0.39347
1700.0,1500.0,0.40395
1700.0,1600.0,0.39631
1700.0,1650.0,0.40209
1700.0,1690.0,0.40624
1800.0,10.0,0.04502
1800.0,50.0,0.04821
1800.0,200.0,0.10033
1800.0,800.0,0.32646
1800.0,1100.0,0.36954
1800.0,1400.0,0.39935
1800.0,1700.0,0.40648
1800.0,1600.0,0.40786
1800.0,1750.0,0.41051
1800.0,1790.0,0.40759
1900.0,10.0,0.05467
1900.0,50.0,0.05107
1900.0,300.0,0.14628
1900.0,600.0,0.28043
1900.0,900.0,0.34156
1900.0,1200.0,0.37959
1900.0,1500.0,0.40164
1900.0,1700.0,0.41182
1900.0,1800.0,0.41748
1900.0,1850.0,0.42015
1900.0,1890.0,0.42039
2000.0,10.0,0.06306
2000.0,50.0,0.06326
2000.0,200.0,0.11076
2000.0,400.0,0.19714
2000.0,700.0,0.30051
2000.0,1000.0,0.35532
2000.0,1300.0,0.3876
2000.0,1600.0,0.4172
2000.0,1800.0,0.42522
2000.0,1900.0,0.41536
2000.0,1950.0,0.42485
2000.0,1990.0,0.42558
2100.0,10.0,0.06706
2100.0,50.0,0.06842
2100.0,200.0,0.10761
2100.0,500.0,0.23962
2100.0,800.0,0.31184
2100.0,1100.0,0.36482
2100.0,1400.0,0.39383
2100.0,1700.0,0.41437
2100.0,1900.0,0.42909
2100.0,2090.0,0.42709
2100.0,2050.0,0.41957
2100.0,2000.0,0.43004
2200.0,10.0,0.06671
2200.0,50.0,0.06818
2200.0,300.0,0.14623
2200.0,600.0,0.27764
2200.0,900.0,0.33944
2200.0,1200.0,0.36899
2200.0,1500.0,0.40657
2200.0,1800.0,0.43101
2200.0,2000.0,0.4291
2200.0,2100.0,0.43507
2200.0,2150.0,0.42089
2200.0,2190.0,0.43331
2300.0,10.0,0.06999
2300.0,50.0,0.075
2300.0,200.0,0.10682
2300.0,400.0,0.19226
2300.0,700.0,0.29503
2300.0,1000.0,0.34289
2300.0,1600.0,0.40794
2300.0,1300.0,0.38742
2300.0,1900.0,0.42085
2300.0,2100.0,0.42884
2300.0,2200.0,0.42126
2300.0,2250.0,0.44135
2300.0,2290.0,0.43425
2400.0,10.0,0.07171
2400.0,50.0,0.07713
2400.0,300.0,0.15026
2400.0,500.0,0.22896
2400.0,800.0,0.30663
2400.0,1050.0,0.35176
2400.0,1400.0,0.38585
2400.0,1700.0,0.41615
2400.0,2000.0,0.42473
2400.0,2200.0,0.42665
2400.0,2300.0,0.44211
2400.0,2350.0,0.43606
2400.0,2390.0,0.44209
