#: table_doi: 10.17182/hepdata.81626.v1/t30
#: name: Acceptance/Efficiency 1
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-L}$ for the signal models of the gluino-bino GGM grid.
#: data_file: data30.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],ACCEPTANCE
1200.0,500.0,0.08532
1300.0,600.0,0.13159
1400.0,700.0,0.16575
1500.0,10.0,0.16478
1500.0,50.0,0.1695
1500.0,200.0,0.16653
1500.0,500.0,0.19185
1500.0,800.0,0.21807
1500.0,1100.0,0.23702
1500.0,1300.0,0.25036
1500.0,1400.0,0.25933
1500.0,1450.0,0.25109
1500.0,1490.0,0.25142
1600.0,10.0,0.19954
1600.0,50.0,0.19872
1600.0,300.0,0.20418
1600.0,600.0,0.23674
1600.0,900.0,0.26161
1600.0,1200.0,0.28037
1600.0,1400.0,0.28855
1600.0,1500.0,0.29055
1600.0,1550.0,0.29085
1600.0,1590.0,0.29782
1700.0,10.0,0.23457
1700.0,50.0,0.2407
1700.0,200.0,0.23111
1700.0,400.0,0.24549
1700.0,700.0,0.27056
1700.0,1000.0,0.29462
1700.0,1300.0,0.31944
1700.0,1500.0,0.32699
1700.0,1600.0,0.31861
1700.0,1650.0,0.32275
1700.0,1690.0,0.33323
1800.0,10.0,0.26155
1800.0,50.0,0.26199
1800.0,200.0,0.24648
1800.0,800.0,0.30805
1800.0,1100.0,0.32911
1800.0,1400.0,0.34382
1800.0,1600.0,0.35003
1800.0,1700.0,0.34265
1800.0,1750.0,0.34411
1800.0,1790.0,0.34376
1900.0,10.0,0.29506
1900.0,50.0,0.29186
1900.0,300.0,0.26923
1900.0,600.0,0.31566
1900.0,900.0,0.33508
1900.0,1200.0,0.34998
1900.0,1500.0,0.36913
1900.0,1700.0,0.36742
1900.0,1800.0,0.368
1900.0,1850.0,0.36613
1900.0,1890.0,0.37263
2000.0,10.0,0.31691
2000.0,50.0,0.31817
2000.0,200.0,0.29495
2000.0,400.0,0.29254
2000.0,700.0,0.33263
2000.0,1000.0,0.35429
2000.0,1300.0,0.37324
2000.0,1600.0,0.38975
2000.0,1800.0,0.38818
2000.0,1900.0,0.37957
2000.0,1950.0,0.38698
2000.0,1990.0,0.38253
2100.0,10.0,0.33943
2100.0,50.0,0.331
2100.0,200.0,0.30404
2100.0,500.0,0.31823
2100.0,800.0,0.34453
2100.0,1100.0,0.37513
2100.0,1400.0,0.39285
2100.0,1700.0,0.39663
2100.0,1900.0,0.40618
2100.0,2000.0,0.39975
2100.0,2050.0,0.39182
2100.0,2090.0,0.39912
2200.0,10.0,0.3529
2200.0,50.0,0.35383
2200.0,300.0,0.30382
2200.0,600.0,0.34791
2200.0,900.0,0.37196
2200.0,1200.0,0.3793
2200.0,1500.0,0.40395
2200.0,1800.0,0.42215
2200.0,2000.0,0.41408
2200.0,2100.0,0.41119
2200.0,2150.0,0.39741
2200.0,2190.0,0.41333
2300.0,10.0,0.37158
2300.0,50.0,0.36981
2300.0,200.0,0.32417
2300.0,400.0,0.32023
2300.0,700.0,0.36234
2300.0,1000.0,0.37272
2300.0,1300.0,0.40775
2300.0,1600.0,0.41252
2300.0,1900.0,0.41613
2300.0,2100.0,0.41835
2300.0,2250.0,0.42189
2300.0,2200.0,0.40324
2300.0,2290.0,0.41836
2400.0,10.0,0.38216
2400.0,50.0,0.3828
2400.0,300.0,0.32407
2400.0,500.0,0.34013
2400.0,800.0,0.3667
2400.0,1050.0,0.38436
2400.0,1400.0,0.4044
2400.0,1700.0,0.4224
2400.0,2000.0,0.42074
2400.0,2200.0,0.41856
2400.0,2300.0,0.43316
2400.0,2350.0,0.41793
2400.0,2390.0,0.42914
