#: table_doi: 10.17182/hepdata.81626.v1/t32
#: name: Acceptance/Efficiency 3
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-L}$ for the signal models of the squark-bino GGM grid.
#: data_file: data32.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],EFFICIENCY
800.0,10.0,0.8021
800.0,50.0,0.77923
800.0,200.0,0.83751
800.0,400.0,0.81801
800.0,600.0,0.75318
800.0,700.0,0.65369
800.0,750.0,0.79426
800.0,790.0,1.00741
1000.0,10.0,0.82199
1000.0,50.0,0.82451
1000.0,300.0,0.83942
1000.0,600.0,0.80688
1000.0,800.0,0.7288
1000.0,900.0,0.69839
1000.0,950.0,0.75411
1000.0,990.0,0.86031
1200.0,10.0,0.7491
1200.0,50.0,0.74217
1200.0,200.0,0.78203
1200.0,500.0,0.72161
1200.0,800.0,0.73784
1200.0,1000.0,0.74627
1200.0,1100.0,0.77686
1200.0,1150.0,0.76834
1200.0,1190.0,0.90129
1300.0,10.0,0.77424
1300.0,50.0,0.75283
1300.0,300.0,0.72147
1300.0,600.0,0.71298
1300.0,900.0,0.73767
1300.0,1100.0,0.73741
1300.0,1200.0,0.75086
1300.0,1250.0,0.77834
1300.0,1290.0,0.86598
1400.0,10.0,0.72281
1400.0,50.0,0.74313
1400.0,200.0,0.72991
1400.0,400.0,0.71351
1400.0,700.0,0.74074
1400.0,1000.0,0.74204
1400.0,1200.0,0.70094
1400.0,1300.0,0.7282
1400.0,1350.0,0.7434
1400.0,1390.0,0.86802
1500.0,10.0,0.70897
1500.0,50.0,0.70421
1500.0,200.0,0.67424
1500.0,500.0,0.70392
1500.0,800.0,0.72459
1500.0,1100.0,0.71698
1500.0,1300.0,0.70287
1500.0,1400.0,0.71708
1500.0,1450.0,0.75216
1500.0,1490.0,0.79054
1600.0,10.0,0.70958
1600.0,300.0,0.71129
1600.0,600.0,0.70763
1600.0,900.0,0.71028
1600.0,1200.0,0.67932
1600.0,1500.0,0.68093
1600.0,1550.0,0.74533
1600.0,1590.0,0.78061
1700.0,10.0,0.71414
1700.0,50.0,0.6856
1700.0,200.0,0.71184
1700.0,400.0,0.69194
1700.0,700.0,0.70479
1700.0,1000.0,0.67825
1700.0,1300.0,0.65836
1700.0,1500.0,0.66727
1700.0,1600.0,0.67652
1700.0,1650.0,0.7307
1700.0,1690.0,0.80256
1800.0,10.0,0.67678
1800.0,50.0,0.66914
1800.0,200.0,0.65798
1800.0,500.0,0.67055
1800.0,1100.0,0.66851
1800.0,1400.0,0.67043
1800.0,1600.0,0.66359
1800.0,1700.0,0.68493
1800.0,1750.0,0.71696
1800.0,1790.0,0.78022
1900.0,10.0,0.68709
1900.0,50.0,0.69418
1900.0,300.0,0.69754
1900.0,600.0,0.65362
1900.0,900.0,0.67606
1900.0,1200.0,0.6835
1900.0,1500.0,0.6227
1900.0,1700.0,0.6749
1900.0,1800.0,0.67664
1900.0,1850.0,0.68403
1900.0,1890.0,0.74868
2000.0,10.0,0.66738
2000.0,50.0,0.71467
2000.0,200.0,0.68949
2000.0,400.0,0.6672
2000.0,700.0,0.67711
2000.0,1000.0,0.6839
2000.0,1300.0,0.65561
2000.0,1600.0,0.64684
2000.0,1800.0,0.6154
2000.0,1900.0,0.65576
2000.0,1950.0,0.71263
2000.0,1990.0,0.7493
2100.0,10.0,0.68458
2100.0,50.0,0.66642
2100.0,300.0,0.68149
2100.0,500.0,0.69171
2100.0,800.0,0.68786
2100.0,1100.0,0.6791
2100.0,1400.0,0.65232
2100.0,1700.0,0.64313
2100.0,1900.0,0.64675
2100.0,2000.0,0.67908
2100.0,2050.0,0.71762
2100.0,2090.0,0.75878

