#: table_doi: 10.17182/hepdata.81626.v1/t32
#: name: Acceptance/Efficiency 3
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-L}$ for the signal models of the squark-bino GGM grid.
#: data_file: data32.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],ACCEPTANCE
800.0,10.0,0.01297
800.0,50.0,0.014
800.0,200.0,0.01555
800.0,400.0,0.01923
800.0,600.0,0.02514
800.0,700.0,0.03077
800.0,750.0,0.02874
800.0,790.0,0.02913
1000.0,10.0,0.04697
1000.0,50.0,0.04554
1000.0,300.0,0.04274
1000.0,600.0,0.05081
1000.0,800.0,0.06386
1000.0,900.0,0.07256
1000.0,950.0,0.07076
1000.0,990.0,0.07347
1200.0,10.0,0.11744
1200.0,50.0,0.12075
1200.0,200.0,0.1037
1200.0,500.0,0.10986
1200.0,800.0,0.12796
1200.0,1000.0,0.12819
1200.0,1100.0,0.13975
1200.0,1150.0,0.13114
1200.0,1190.0,0.1458
1300.0,10.0,0.17589
1300.0,50.0,0.17716
1300.0,300.0,0.13147
1300.0,600.0,0.14748
1300.0,900.0,0.16298
1300.0,1100.0,0.17447
1300.0,1200.0,0.17652
1300.0,1250.0,0.18179
1300.0,1290.0,0.18949
1400.0,10.0,0.21683
1400.0,50.0,0.22047
1400.0,200.0,0.17664
1400.0,400.0,0.17226
1400.0,700.0,0.18404
1400.0,1000.0,0.20713
1400.0,1200.0,0.21913
1400.0,1300.0,0.21863
1400.0,1350.0,0.23089
1400.0,1390.0,0.22391
1500.0,10.0,0.26972
1500.0,50.0,0.26063
1500.0,200.0,0.22401
1500.0,500.0,0.20611
1500.0,800.0,0.23382
1500.0,1100.0,0.24898
1500.0,1300.0,0.26218
1500.0,1400.0,0.27539
1500.0,1450.0,0.25327
1500.0,1490.0,0.26364
1600.0,10.0,0.30231
1600.0,300.0,0.22871
1600.0,600.0,0.24953
1600.0,900.0,0.25763
1600.0,1200.0,0.288
1600.0,1500.0,0.30373
1600.0,1550.0,0.29779
1600.0,1590.0,0.30299
1700.0,10.0,0.33256
1700.0,50.0,0.3304
1700.0,200.0,0.26864
1700.0,400.0,0.24522
1700.0,700.0,0.28232
1700.0,1000.0,0.29328
1700.0,1300.0,0.32417
1700.0,1500.0,0.33473
1700.0,1600.0,0.33048
1700.0,1650.0,0.32332
1700.0,1690.0,0.33857
1800.0,10.0,0.3651
1800.0,50.0,0.37139
1800.0,200.0,0.30119
1800.0,500.0,0.29029
1800.0,1100.0,0.32419
1800.0,1400.0,0.34919
1800.0,1600.0,0.35386
1800.0,1700.0,0.3595
1800.0,1750.0,0.35381
1800.0,1790.0,0.3492
1900.0,10.0,0.40055
1900.0,50.0,0.40131
1900.0,300.0,0.29869
1900.0,600.0,0.308
1900.0,900.0,0.32602
1900.0,1200.0,0.35412
1900.0,1500.0,0.37916
1900.0,1700.0,0.38267
1900.0,1800.0,0.37797
1900.0,1850.0,0.37951
1900.0,1890.0,0.37303
2000.0,10.0,0.42504
2000.0,50.0,0.41301
2000.0,200.0,0.34515
2000.0,400.0,0.29885
2000.0,700.0,0.33011
2000.0,1000.0,0.35203
2000.0,1300.0,0.35959
2000.0,1600.0,0.3831
2000.0,1800.0,0.40147
2000.0,1900.0,0.3911
2000.0,1950.0,0.39337
2000.0,1990.0,0.39321
2100.0,10.0,0.44132
2100.0,50.0,0.4433
2100.0,300.0,0.31895
2100.0,500.0,0.32379
2100.0,800.0,0.34737
2100.0,1100.0,0.3727
2100.0,1400.0,0.39319
2100.0,1700.0,0.40187
2100.0,1900.0,0.40779
2100.0,2000.0,0.40103
2100.0,2050.0,0.39667
2100.0,2090.0,0.39962
