#: table_doi: 10.17182/hepdata.81626.v1/t33
#: name: Acceptance/Efficiency 4
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-H}$ for the signal models of the squark-bino GGM grid.
#: data_file: data33.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],EFFICIENCY
800.0,10.0,0.98876
800.0,50.0,0.82909
800.0,200.0,0.8489
800.0,400.0,0.7297
800.0,600.0,0.76267
800.0,700.0,0.73257
800.0,750.0,0.72581
800.0,790.0,0.91157
1000.0,10.0,0.85658
1000.0,50.0,0.79672
1000.0,300.0,0.70501
1000.0,600.0,0.69676
1000.0,800.0,0.68019
1000.0,900.0,0.74961
1000.0,950.0,0.74258
1000.0,990.0,0.815
1200.0,10.0,0.75791
1200.0,50.0,0.69359
1200.0,200.0,0.70017
1200.0,500.0,0.6485
1200.0,800.0,0.69178
1200.0,1000.0,0.66086
1200.0,1100.0,0.68788
1200.0,1150.0,0.69708
1200.0,1190.0,0.79314
1300.0,10.0,0.79874
1300.0,50.0,0.78595
1300.0,300.0,0.69813
1300.0,600.0,0.62996
1300.0,900.0,0.6553
1300.0,1100.0,0.656
1300.0,1200.0,0.66102
1300.0,1250.0,0.70127
1300.0,1290.0,0.7775
1400.0,10.0,0.77898
1400.0,50.0,0.74451
1400.0,200.0,0.66677
1400.0,400.0,0.66218
1400.0,700.0,0.68986
1400.0,1000.0,0.65801
1400.0,1200.0,0.63374
1400.0,1300.0,0.67814
1400.0,1350.0,0.66994
1400.0,1390.0,0.75507
1500.0,10.0,0.74615
1500.0,50.0,0.74082
1500.0,200.0,0.66258
1500.0,500.0,0.63826
1500.0,800.0,0.67983
1500.0,1100.0,0.66281
1500.0,1300.0,0.66862
1500.0,1400.0,0.66951
1500.0,1450.0,0.69479
1500.0,1490.0,0.7344
1600.0,10.0,0.68666
1600.0,300.0,0.69223
1600.0,600.0,0.67154
1600.0,900.0,0.66628
1600.0,1200.0,0.63993
1600.0,1500.0,0.64737
1600.0,1550.0,0.70808
1600.0,1590.0,0.75246
1700.0,10.0,0.69718
1700.0,50.0,0.72222
1700.0,200.0,0.70927
1700.0,400.0,0.68533
1700.0,700.0,0.66777
1700.0,1000.0,0.62804
1700.0,1300.0,0.62773
1700.0,1500.0,0.64196
1700.0,1600.0,0.63985
1700.0,1650.0,0.69224
1700.0,1690.0,0.75893
1800.0,10.0,0.68127
1800.0,50.0,0.70642
1800.0,200.0,0.63488
1800.0,500.0,0.64278
1800.0,1100.0,0.63771
1800.0,1400.0,0.64624
1800.0,1600.0,0.63869
1800.0,1700.0,0.66274
1800.0,1750.0,0.69407
1800.0,1790.0,0.74948
1900.0,10.0,0.70297
1900.0,50.0,0.70728
1900.0,300.0,0.68837
1900.0,600.0,0.6513
1900.0,900.0,0.65374
1900.0,1200.0,0.67026
1900.0,1500.0,0.61132
1900.0,1700.0,0.65763
1900.0,1800.0,0.66261
1900.0,1850.0,0.66381
1900.0,1890.0,0.73899
2000.0,10.0,0.70574
2000.0,50.0,0.73717
2000.0,200.0,0.72133
2000.0,400.0,0.66557
2000.0,700.0,0.66398
2000.0,1000.0,0.65364
2000.0,1300.0,0.63065
2000.0,1600.0,0.6379
2000.0,1800.0,0.60361
2000.0,1900.0,0.63467
2000.0,1950.0,0.69622
2000.0,1990.0,0.72498
2100.0,10.0,0.74151
2100.0,50.0,0.7103
2100.0,300.0,0.69662
2100.0,500.0,0.66954
2100.0,800.0,0.66425
2100.0,1100.0,0.65686
2100.0,1400.0,0.64992
2100.0,1700.0,0.62779
2100.0,1900.0,0.62874
2100.0,2000.0,0.66014
2100.0,2050.0,0.69903
2100.0,2090.0,0.74475

