#: table_doi: 10.17182/hepdata.81626.v1/t34
#: name: Acceptance/Efficiency 5
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{W-L}$ for the signal models of the wino-bino GGM grid.
#: data_file: data34.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],EFFICIENCY
300.0,100.0,0.3653
400.0,200.0,0.52844
500.0,10.0,0.90924
500.0,50.0,0.91761
500.0,100.0,0.75295
500.0,300.0,0.69965
500.0,400.0,0.5864
500.0,450.0,0.59484
500.0,490.0,0.88913
600.0,10.0,0.85576
600.0,50.0,0.81175
600.0,200.0,0.82696
600.0,400.0,0.66805
600.0,500.0,0.6526
600.0,550.0,0.75583
600.0,590.0,0.85037
700.0,10.0,0.78108
700.0,50.0,0.77495
700.0,100.0,0.78658
700.0,300.0,0.77274
700.0,500.0,0.70747
700.0,600.0,0.62514
700.0,650.0,0.75152
700.0,690.0,0.90006
800.0,10.0,0.72126
800.0,50.0,0.75177
800.0,200.0,0.74161
800.0,400.0,0.75538
800.0,600.0,0.63869
800.0,700.0,0.66616
800.0,750.0,0.73452
800.0,790.0,0.86188
900.0,10.0,0.69136
900.0,50.0,0.70642
900.0,100.0,0.73126
900.0,300.0,0.70959
900.0,500.0,0.71455
900.0,700.0,0.66457
900.0,800.0,0.65395
900.0,850.0,0.72198
900.0,890.0,0.81527
1000.0,10.0,0.69696
1000.0,50.0,0.71385
1000.0,200.0,0.69292
1000.0,400.0,0.70358
1000.0,600.0,0.70196
1000.0,800.0,0.64529
1000.0,900.0,0.62737
1000.0,950.0,0.7139
1000.0,990.0,0.82461
1100.0,10.0,0.69525
1100.0,50.0,0.72634
1100.0,100.0,0.68579
1100.0,300.0,0.6835
1100.0,500.0,0.66
1100.0,700.0,0.66689
1100.0,900.0,0.62997
1100.0,1000.0,0.64385
1100.0,1050.0,0.72471
1100.0,1090.0,0.7961
1200.0,10.0,0.66337
1200.0,50.0,0.71452
1200.0,200.0,0.69946
1200.0,400.0,0.70068
1200.0,600.0,0.66902
1200.0,800.0,0.6421
1200.0,1000.0,0.61396
1200.0,1100.0,0.63946
1200.0,1150.0,0.71298
1200.0,1190.0,0.75878
1300.0,10.0,0.6856
1300.0,50.0,0.70473
1300.0,100.0,0.69317
1300.0,300.0,0.69097
1300.0,500.0,0.67749
1300.0,700.0,0.66162
1300.0,900.0,0.65515
1300.0,1100.0,0.6262
1300.0,1250.0,0.71808
1300.0,1200.0,0.65072
1300.0,1290.0,0.76751
1400.0,50.0,0.68625
1400.0,200.0,0.66818
1400.0,400.0,0.68951
1400.0,600.0,0.65427
1400.0,800.0,0.67112
1400.0,1000.0,0.64385
1400.0,1200.0,0.60311
1400.0,1300.0,0.63166
1400.0,1350.0,0.70224
1400.0,1390.0,0.75664
1500.0,50.0,0.57052
1500.0,100.0,0.56801
1500.0,300.0,0.57216
1500.0,500.0,0.553
1500.0,700.0,0.577
1500.0,900.0,0.56565
1500.0,1100.0,0.54029
1500.0,1300.0,0.52857
1500.0,1400.0,1.04089
1500.0,1450.0,0.60029
1500.0,1490.0,0.63845

