#: table_doi: 10.17182/hepdata.77891.v5/t32
#: name: X-section U.L. & best SR 2  : Meff+RJR
#: description: Observed 95% CL upper limit on the signal cross-section from searches in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data32.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],Best SR
1900.0,100.0,0.990634
1900.0,300.0,1.1436
1900.0,500.0,1.32275
1900.0,700.0,2.70746
1900.0,900.0,3.94496
1900.0,1100.0,4.11756
1900.0,1300.0,10.0041
1950.0,50.0,0.948383
1950.0,250.0,0.978674
1950.0,450.0,1.08271
1950.0,650.0,1.11149
1950.0,850.0,3.18051

