#: table_doi: 10.17182/hepdata.79165.v2/t74
#: name: SR distribution 5
#: description: $\mathrm{m_{eff}}$ distribution in b1L-SRA. All selection criteria are applied, except the selection on the variable that is displayed in the plot. The SM backgrounds are normalized to the values determined in the fit. The last bin includes overflows.
#: data_file: data73.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOM X
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
#: .,,,DATA
$\mathrm{m_{eff}}$ [GEV],$\mathrm{m_{eff}}$ [GEV] LOW,$\mathrm{m_{eff}}$ [GEV] HIGH,EVENTS / 50 GEV,error +,error -
475.0,450.0,500.0,2.0,1.414,-1.414
525.0,500.0,550.0,4.0,2.0,-2.0
575.0,550.0,600.0,6.0,2.449,-2.449
625.0,600.0,650.0,1.0,1.0,-1.0
675.0,650.0,700.0,3.0,1.732,-1.732
725.0,700.0,750.0,4.0,2.0,-2.0
775.0,750.0,800.0,1.0,1.0,-1.0
825.0,800.0,850.0,4.0,2.0,-2.0
875.0,850.0,900.0,2.0,1.414,-1.414
925.0,900.0,950.0,2.0,1.414,-1.414
975.0,950.0,1000.0,4.0,2.0,-2.0

#: SQRT(S) [GEV],,,13000.0
#: .,,,BACKGROUND
$\mathrm{m_{eff}}$ [GEV],$\mathrm{m_{eff}}$ [GEV] LOW,$\mathrm{m_{eff}}$ [GEV] HIGH,EVENTS / 50 GEV,error +,error -
475.0,450.0,500.0,0.9936324,0.291913,-0.291913
525.0,500.0,550.0,1.918205,1.01001,-1.01001
575.0,550.0,600.0,2.086896,1.16394,-1.16394
625.0,600.0,650.0,2.327712,0.617072,-0.617072
675.0,650.0,700.0,3.645117,1.41601,-1.41601
725.0,700.0,750.0,3.025524,1.09676,-1.09676
775.0,750.0,800.0,2.058581,0.981464,-0.981464
825.0,800.0,850.0,1.370866,0.811511,-0.811511
875.0,850.0,900.0,1.687928,0.556625,-0.556625
925.0,900.0,950.0,2.166455,0.595856,-0.595856
975.0,950.0,1000.0,7.418849,1.33181,-1.33181

#: SQRT(S) [GEV],,,13000.0
#: .,,,(800, 100)
$\mathrm{m_{eff}}$ [GEV],$\mathrm{m_{eff}}$ [GEV] LOW,$\mathrm{m_{eff}}$ [GEV] HIGH,EVENTS / 50 GEV,error +,error -
475.0,450.0,500.0,0.08488,0.07596,-0.07596
525.0,500.0,550.0,0.03981,0.03981,-0.03981
575.0,550.0,600.0,0.1195,0.08385,-0.08385
625.0,600.0,650.0,0.1916,0.09304,-0.09304
675.0,650.0,700.0,0.3401,0.1065,-0.1065
725.0,700.0,750.0,0.3225,0.1359,-0.1359
775.0,750.0,800.0,0.7397,0.1558,-0.1558
825.0,800.0,850.0,0.5014,0.1384,-0.1384
875.0,850.0,900.0,0.8453,0.1733,-0.1733
925.0,900.0,950.0,0.865,0.1829,-0.1829
975.0,950.0,1000.0,8.332,0.1808,-0.1808

