#: table_doi: 10.17182/hepdata.79165.v2/t73
#: name: SR distribution 4
#: description: $\mathrm{m_{bb}}$ distribution in b1L-SRA300-2j. All selection criteria are applied, except the selection on the variable that is displayed in the plot. The SM backgrounds are normalized to the values determined in the fit. The last bin includes overflows.
#: data_file: data72.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOM X
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
#: .,,,DATA
$\mathrm{m_{bb}}$ [GEV],$\mathrm{m_{bb}}$ [GEV] LOW,$\mathrm{m_{bb}}$ [GEV] HIGH,EVENTS / 50 GEV,error +,error -
25.0,0.0,50.0,1.0,1.0,-1.0
75.0,50.0,100.0,1.0,1.0,-1.0
125.0,100.0,150.0,4.0,2.0,-2.0
175.0,150.0,200.0,1.0,1.0,-1.0
225.0,200.0,250.0,4.0,2.0,-2.0
275.0,250.0,300.0,2.0,1.414,-1.414
325.0,300.0,350.0,2.0,1.414,-1.414
375.0,350.0,400.0,0.0,0.0,-0.0
425.0,400.0,450.0,3.0,1.732,-1.732
475.0,450.0,500.0,0.0,0.0,-0.0
525.0,500.0,550.0,0.0,0.0,-0.0
575.0,550.0,600.0,1.0,1.0,-1.0

#: SQRT(S) [GEV],,,13000.0
#: .,,,BACKGROUND
$\mathrm{m_{bb}}$ [GEV],$\mathrm{m_{bb}}$ [GEV] LOW,$\mathrm{m_{bb}}$ [GEV] HIGH,EVENTS / 50 GEV,error +,error -
25.0,0.0,50.0,0.2536536,0.363643,-0.363643
75.0,50.0,100.0,6.700804,6.61692,-6.61692
125.0,100.0,150.0,1.72618,0.456138,-0.456138
175.0,150.0,200.0,1.526505,0.622504,-0.622504
225.0,200.0,250.0,1.411533,0.451246,-0.451246
275.0,250.0,300.0,1.41219,0.811825,-0.811825
325.0,300.0,350.0,0.7100292,0.251781,-0.251781
375.0,350.0,400.0,0.7277095,0.306316,-0.306316
425.0,400.0,450.0,0.4942033,0.254596,-0.254596
475.0,450.0,500.0,0.3586487,0.172672,-0.172672
525.0,500.0,550.0,0.3189922,0.231133,-0.231133
575.0,550.0,600.0,1.279049,0.382042,-0.382042

#: SQRT(S) [GEV],,,13000.0
#: .,,,(600, 100)
$\mathrm{m_{bb}}$ [GEV],$\mathrm{m_{bb}}$ [GEV] LOW,$\mathrm{m_{bb}}$ [GEV] HIGH,EVENTS / 50 GEV,error +,error -
25.0,0.0,50.0,0.0,0.0,-0.0
75.0,50.0,100.0,0.7272,0.2997,-0.2997
125.0,100.0,150.0,1.929,0.61,-0.61
175.0,150.0,200.0,1.999,0.4813,-0.4813
225.0,200.0,250.0,1.472,0.4067,-0.4067
275.0,250.0,300.0,2.401,0.7371,-0.7371
325.0,300.0,350.0,2.023,0.5468,-0.5468
375.0,350.0,400.0,0.6047,0.2539,-0.2539
425.0,400.0,450.0,0.9651,0.3317,-0.3317
475.0,450.0,500.0,0.6086,0.246,-0.246
525.0,500.0,550.0,0.2353,0.1675,-0.1675
575.0,550.0,600.0,0.7323,0.8558,-0.8558

