#: table_doi: 10.17182/hepdata.79165.v2/t87
#: name: Limit on cross section 12
#: description: Cross section excluded at 95% CL for b1L-SRA300-2j as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data84.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.1852
1000.0,150.0,0.1243
1000.0,300.0,0.1374
1000.0,450.0,0.1661
1000.0,500.0,0.2075
1050.0,100.0,0.1441
1050.0,150.0,0.1672
1050.0,200.0,0.1521
1050.0,300.0,0.2134
1050.0,350.0,0.122
1050.0,400.0,0.1349
1050.0,450.0,0.202
1050.0,500.0,0.1453
1050.0,550.0,0.1684
1100.0,100.0,0.1516
1100.0,200.0,0.1513
1100.0,250.0,0.1824
1100.0,300.0,0.15
1100.0,350.0,0.177
1100.0,400.0,0.1827
1100.0,450.0,0.1708
1100.0,500.0,0.1762
1100.0,550.0,0.221
1150.0,150.0,0.1589
1150.0,200.0,0.1369
1150.0,250.0,0.1837
1150.0,300.0,0.1113
1150.0,350.0,0.1622
1150.0,400.0,0.1532
1150.0,500.0,0.09596
1150.0,550.0,0.1585
1200.0,150.0,0.1903
1200.0,200.0,0.1505
1200.0,250.0,0.1559
1200.0,300.0,0.173
1200.0,350.0,0.1381
1200.0,400.0,0.1576
1200.0,450.0,0.1631
1200.0,500.0,0.1665
1200.0,550.0,0.2152
1250.0,200.0,0.1605
1250.0,250.0,0.1513
1250.0,300.0,0.1397
1250.0,400.0,0.1618
1250.0,450.0,0.1561
1250.0,500.0,0.1252
1250.0,550.0,0.1706
400.0,100.0,1.793
400.0,150.0,3.946
450.0,150.0,1.793
450.0,200.0,4.784
500.0,100.0,0.3628
500.0,250.0,1.132
550.0,100.0,0.2673
550.0,200.0,0.3245
550.0,250.0,0.4504
550.0,300.0,0.9843
600.0,100.0,0.2668
600.0,150.0,0.2101
600.0,200.0,0.2719
600.0,250.0,0.3884
600.0,300.0,0.4119
600.0,350.0,1.828
600.0,400.0,3.307
650.0,150.0,0.2177
650.0,200.0,0.2056
650.0,250.0,0.3016
650.0,300.0,0.3462
650.0,350.0,0.54
650.0,400.0,1.12
650.0,450.0,4.906
700.0,100.0,0.2123
700.0,150.0,0.1751
700.0,200.0,0.1691
700.0,250.0,0.2015
700.0,300.0,0.2475
700.0,350.0,0.3045
700.0,400.0,0.3978
700.0,450.0,1.245
750.0,100.0,0.1373
750.0,150.0,0.1849
750.0,200.0,0.197
750.0,250.0,0.1679
750.0,300.0,0.238
750.0,350.0,0.2259
750.0,400.0,0.4321
750.0,450.0,0.2834
750.0,500.0,1.339
800.0,100.0,0.1585
800.0,200.0,0.1431
800.0,250.0,0.2202
800.0,300.0,0.1511
800.0,350.0,0.2863
800.0,400.0,0.2092
800.0,450.0,0.2712
800.0,500.0,0.3965
800.0,550.0,0.9519
850.0,100.0,0.2111
850.0,150.0,0.1247
850.0,200.0,0.2779
850.0,250.0,0.1756
850.0,300.0,0.1622
850.0,350.0,0.194
850.0,400.0,0.2087
850.0,450.0,0.2065
850.0,550.0,0.3398
900.0,100.0,0.1388
900.0,200.0,0.1515
900.0,250.0,0.3964
900.0,300.0,0.1797
900.0,350.0,0.1368
900.0,400.0,0.154
900.0,450.0,0.1357
900.0,550.0,0.1993
900.0,600.0,0.3973
950.0,100.0,0.1484
950.0,200.0,0.1468
950.0,250.0,0.175
950.0,300.0,0.2153
950.0,350.0,0.1963
950.0,400.0,0.1727
950.0,450.0,0.2063
950.0,500.0,0.1542
950.0,550.0,0.3413

