#: table_doi: 10.17182/hepdata.81626.v1/t23
#: name: Cross section UL 2
#: description: Derived exclusion limits for the squark-bino GGM model explored by the diphoton analysis. For each point in the squark-bino parameter space, the SR ($\mathrm{SR}^{\gamma\gamma}_{S-L}$ or $\mathrm{SR}^{\gamma\gamma}_{S-H}$) that provides the best expected sensitivity is used to estimate the exclusion likelihood. The model dependent upper limits on cross-section (fb) are shown by grey numbers for each signal point.
#: data_file: data23.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
#M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],X-section U.L.
800.0,10.0,7.961
800.0,50.0,7.64
800.0,200.0,6.346
800.0,400.0,5.247
800.0,600.0,4.361
800.0,700.0,4.13
800.0,750.0,3.534
800.0,790.0,2.835
1000.0,10.0,2.11
1000.0,50.0,2.146
1000.0,300.0,2.304
1000.0,600.0,1.97
1000.0,800.0,1.723
1000.0,900.0,1.59
1000.0,950.0,1.495
1000.0,990.0,1.247
1200.0,10.0,0.914
1200.0,50.0,0.905
1200.0,200.0,1.004
1200.0,500.0,1.021
1200.0,800.0,0.858
1200.0,1000.0,0.83
1200.0,1100.0,0.741
1200.0,1150.0,0.792
1200.0,1190.0,0.627
1300.0,10.0,0.598
1300.0,50.0,0.619
1300.0,300.0,0.865
1300.0,600.0,0.792
1300.0,900.0,0.675
1300.0,1100.0,0.616
1300.0,1200.0,0.61
1300.0,1250.0,0.564
1300.0,1290.0,0.476
1400.0,10.0,0.518
1400.0,50.0,0.512
1400.0,200.0,0.622
1400.0,400.0,0.656
1400.0,700.0,0.598
1400.0,1000.0,0.522
1400.0,1200.0,0.535
1400.0,1300.0,0.522
1400.0,1350.0,0.473
1400.0,1390.0,0.421
1500.0,10.0,0.41
1500.0,50.0,0.439
1500.0,200.0,0.537
1500.0,500.0,0.567
1500.0,800.0,0.493
1500.0,1100.0,0.48
1500.0,1300.0,0.431
1500.0,1400.0,0.407
1500.0,1450.0,0.428
1500.0,1490.0,0.283
1600.0,10.0,0.375
1600.0,300.0,0.491
1600.0,600.0,0.432
1600.0,900.0,0.373
1600.0,1200.0,0.351
1600.0,1500.0,0.317
1600.0,1550.0,0.288
1600.0,1590.0,0.271
1700.0,10.0,0.344
1700.0,50.0,0.352
1700.0,200.0,0.415
1700.0,400.0,0.472
1700.0,700.0,0.396
1700.0,1000.0,0.37
1700.0,1300.0,0.325
1700.0,1500.0,0.311
1700.0,1600.0,0.304
1700.0,1650.0,0.297
1700.0,1690.0,0.256
1800.0,10.0,0.323
1800.0,50.0,0.322
1800.0,200.0,0.405
1800.0,500.0,0.41
1800.0,800.0,0.392
1800.0,1100.0,0.355
1800.0,1400.0,0.323
1800.0,1600.0,0.312
1800.0,1700.0,0.299
1800.0,1750.0,0.281
1800.0,1790.0,0.261
1900.0,10.0,0.3
1900.0,50.0,0.295
1900.0,300.0,0.383
1900.0,600.0,0.401
1900.0,900.0,0.373
1900.0,1200.0,0.322
1900.0,1500.0,0.31
1900.0,1700.0,0.294
1900.0,1800.0,0.291
1900.0,1850.0,0.292
1900.0,1890.0,0.263
2000.0,10.0,0.292
2000.0,50.0,0.277
2000.0,200.0,0.349
2000.0,400.0,0.413
2000.0,700.0,0.365
2000.0,1000.0,0.341
2000.0,1300.0,0.35
2000.0,1600.0,0.324
2000.0,1800.0,0.321
2000.0,1900.0,0.301
2000.0,1950.0,0.274
2000.0,1990.0,0.26
2100.0,10.0,0.281
2100.0,50.0,0.272
2100.0,300.0,0.376
2100.0,500.0,0.382
2100.0,800.0,0.36
2100.0,1100.0,0.333
2100.0,1400.0,0.328
2100.0,1700.0,0.297
2100.0,1900.0,0.313
2100.0,2000.0,0.293
2100.0,2050.0,0.277
2100.0,2090.0,0.258
