# Chargino Neutralino Cross Section vs Chargino mass as used by CMS in SUS12022
# chargino+
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections8TeVcharginoneutralinoCMS
# Mass	Cross Section [pb]	Uncertainty [pb]
100	7.070000e+00	4.863176e-01
105	5.890000e+00	3.932717e-01
110	4.960000e+00	3.195473e-01
115	4.210000e+00	2.677732e-01
120	3.600000e+00	2.257290e-01
125	3.100000e+00	1.848786e-01
130	2.690000e+00	1.629154e-01
135	2.330000e+00	1.320641e-01
140	2.040000e+00	1.112893e-01
145	1.790000e+00	9.990207e-02
150	1.580000e+00	8.002465e-02
155	1.400000e+00	7.814384e-02
160	1.240000e+00	5.916109e-02
165	1.110000e+00	5.742768e-02
170	9.900000e-01	4.920053e-02
175	8.870000e-01	4.455581e-02
180	7.970000e-01	3.826233e-02
185	7.190000e-01	3.476114e-02
190	6.510000e-01	3.056943e-02
195	5.910000e-01	2.731393e-02
200	5.350000e-01	2.463968e-02
205	4.860000e-01	2.148108e-02
210	4.430000e-01	2.007604e-02
215	4.040000e-01	1.801074e-02
220	3.690000e-01	1.587652e-02
225	3.390000e-01	1.458604e-02
230	3.090000e-01	1.330455e-02
235	2.850000e-01	1.146354e-02
240	2.620000e-01	1.105857e-02
245	2.410000e-01	1.003790e-02
250	2.220000e-01	9.652981e-03
255	2.050000e-01	8.601722e-03
260	1.880000e-01	7.657696e-03
265	1.750000e-01	7.409231e-03
270	1.620000e-01	6.473432e-03
275	1.500000e-01	6.206211e-03
280	1.390000e-01	5.981812e-03
285	1.290000e-01	5.031329e-03
290	1.210000e-01	4.997198e-03
295	1.120000e-01	4.810481e-03
300	1.040000e-01	4.620926e-03
305	9.730000e-02	3.945574e-03
310	9.070000e-02	3.606896e-03
315	8.470000e-02	3.337444e-03
320	7.910000e-02	3.101141e-03
325	7.360000e-02	2.969285e-03
330	6.880000e-02	2.727826e-03
335	6.440000e-02	2.569179e-03
340	6.040000e-02	2.402778e-03
345	5.690000e-02	2.267697e-03
350	5.340000e-02	2.144587e-03
355	5.010000e-02	2.013708e-03
360	4.700000e-02	1.862697e-03
365	4.420000e-02	1.774172e-03
370	4.200000e-02	1.633178e-03
375	3.950000e-02	1.563710e-03
380	3.640000e-02	1.518893e-03
385	3.460000e-02	1.388722e-03
390	3.260000e-02	1.331904e-03
395	3.070000e-02	1.214018e-03
400	2.890000e-02	1.131480e-03
405	2.760000e-02	1.091159e-03
410	2.580000e-02	1.093801e-03
415	2.430000e-02	9.905962e-04
420	2.300000e-02	9.494109e-04
425	2.190000e-02	8.908604e-04
430	2.050000e-02	8.455829e-04
435	1.940000e-02	8.166313e-04
440	1.850000e-02	7.423614e-04
445	1.730000e-02	7.017501e-04
450	1.620000e-02	6.860287e-04
455	1.570000e-02	6.791850e-04
460	1.470000e-02	6.122598e-04
465	1.380000e-02	6.054928e-04
470	1.330000e-02	5.569881e-04
475	1.250000e-02	5.368508e-04
480	1.170000e-02	5.097087e-04
500	9.420000e-03	4.238261e-04
525	7.280000e-03	3.366263e-04
550	5.770000e-03	2.731595e-04
575	4.510000e-03	2.191075e-04
600	3.620000e-03	1.821688e-04
625	2.730000e-03	1.402072e-04
650	2.210000e-03	1.202416e-04
675	1.750000e-03	9.907158e-05
700	1.430000e-03	8.272134e-05
725	1.140000e-03	7.046144e-05
750	8.760000e-04	5.445675e-05
775	7.020000e-04	4.557576e-05
800	5.640000e-04	3.830591e-05
825	4.530000e-04	3.232533e-05
850	3.650000e-04	2.685222e-05
875	2.950000e-04	2.308675e-05
900	2.280000e-04	1.808423e-05
925	1.920000e-04	1.624652e-05
950	1.490000e-04	1.307138e-05
975	1.260000e-04	1.159725e-05
1000	1.020000e-04	9.778240e-06
1025	7.630000e-05	7.424632e-06
1050	6.710000e-05	6.962827e-06
1075	5.870000e-05	6.768157e-06
1100	4.380000e-05	5.129379e-06
1125	3.550000e-05	4.427412e-06
1150	3.130000e-05	4.291607e-06
1175	1.990000e-05	2.740070e-06
1200	1.890000e-05	2.742489e-06
1225	1.410000e-05	2.138381e-06
1250	1.150000e-05	1.811821e-06
1275	1.010000e-05	1.719643e-06
1300	8.860000e-06	1.668631e-06
1325	7.170000e-06	1.456334e-06
1350	5.330000e-06	1.142561e-06
1375	5.610000e-06	1.390538e-06
1400	3.470000e-06	8.795559e-07
1425	3.060000e-06	8.619625e-07
1450	2.090000e-06	6.301960e-07
1475	1.440000e-06	4.788260e-07
1500	1.350000e-06	5.055624e-07
1525	1.270000e-06	5.277939e-07
1550	8.650000e-07	3.905286e-07
1575	6.910000e-07	3.464989e-07
1600	5.500000e-07	3.043359e-07
1625	4.360000e-07	2.697988e-07
1650	3.460000e-07	2.319197e-07
1675	3.220000e-07	2.376519e-07
1700	2.550000e-07	2.055244e-07
1725	1.700000e-07	1.503515e-07
1750	1.140000e-07	1.136259e-07
1775	1.098886e-07	1.098886e-07
1800	9.131626e-08	9.131626e-08
1825	1.056695e-07	1.056695e-07
1850	6.217691e-08	6.217691e-08
1875	4.441575e-08	4.441575e-08
1900	5.008888e-08	5.008888e-08
1925	3.475994e-08	3.475994e-08
1950	3.357540e-08	3.357540e-08
1975	3.347130e-08	3.347130e-08
2000	2.258929e-08	2.258929e-08
