# chargino+ neutralino2 NLO-NLL, envelope, 13 TeV, taken from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVn2x1wino
# mC [GeV]	xsec [fb]	uncertainty [fb]
100	13895.1	485.572
125	6252.21	222.508
150	3273.84	127.175
175	1890.26	80.6306
200	1170.26	54.8302
225	762.405	37.9761
250	517.259	27.6553
275	362.248	20.51
300	260.319	15.5522
325	191.314	12.0565
350	143.126	9.39716
375	108.84	7.50279
400	83.9069	6.05361
425	65.4553	4.94466
450	51.5901	4.04097
475	41.0233	3.28837
500	32.9135	2.73443
525	26.6028	2.29957
550	21.644	1.92376
575	17.7159	1.60859
600	14.5767	1.38165
625	12.0454	1.15947
650	10.0188	0.977468
675	8.34633	0.832887
700	6.99008	0.714013
725	5.86536	0.602628
750	4.95438	0.532335
775	4.18041	0.452388
800	3.54111	0.389213
825	3.0052	0.335727
850	2.55793	0.284029
875	2.17847	0.255221
900	1.87338	0.216666
925	1.59963	0.185445
950	1.36565	0.168945
975	1.18309	0.15545
1000	1.01451	0.123448
1025	0.879192	0.108224
1050	0.757183	0.0900054
1075	0.651686	0.0799626
1100	0.55945	0.0711016
1125	0.491938	0.0637444
1150	0.419984	0.0565834
1175	0.371485	0.0412257
1200	0.31567	0.0415881
1225	0.27623	0.0371856
1250	0.240685	0.0286937
1275	0.210298	0.0264908
1300	0.18015	0.0229469
1325	0.159393	0.0196224
1350	0.139246	0.0174043
1375	0.120872	0.0154592
1400	0.10087	0.0128138
1425	0.0906208	0.012095
1450	0.0807007	0.0110593
1475	0.0704072	0.0109494
1500	0.0598541	0.00896721
1525	0.0520963	0.00809093
1550	0.0456082	0.00758726
1575	0.0394537	0.00722754
1600	0.0347174	0.00671145
1625	0.0307532	0.00626805
1650	0.0266118	0.00561368
1675	0.0231039	0.00527505
1700	0.0200153	0.00498133
1725	0.0176634	0.00412917
1750	0.0153969	0.00373792
1775	0.0134356	0.00341071
1800	0.0117395	0.00312039
1825	0.0100904	0.00285901
1850	0.00869944	0.00278534
1875	0.00754745	0.00262309
1900	0.00675782	0.00217148
1925	0.00582783	0.00201806
1950	0.0050955	0.00176923
1975	0.00444781	0.00167948
2000	0.00389224	0.00155069
