# Chargino Neutralino Cross Section vs Chargino mass as used by CMS in SUS12022
# chargino-
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections8TeVcharginoneutralinoCMS
# Mass	Cross Section [pb]	Uncertainty [pb]
100	4.019153e+00	2.951105e-01
105	3.309197e+00	2.330350e-01
110	2.754310e+00	1.864363e-01
115	2.309394e+00	1.500854e-01
120	1.945054e+00	1.239168e-01
125	1.659389e+00	9.895457e-02
130	1.434150e+00	9.171583e-02
135	1.224930e+00	7.161628e-02
140	1.064614e+00	6.066342e-02
145	9.235344e-01	5.410340e-02
150	8.079838e-01	4.629344e-02
155	7.074815e-01	4.033433e-02
160	6.216521e-01	3.406275e-02
165	5.496193e-01	2.966668e-02
170	4.871192e-01	2.589110e-02
175	4.321440e-01	2.267783e-02
180	3.851922e-01	2.039066e-02
185	3.446645e-01	1.771530e-02
190	3.088300e-01	1.548910e-02
195	2.778673e-01	1.343266e-02
200	2.502323e-01	1.265101e-02
205	2.256742e-01	1.107182e-02
210	2.037555e-01	9.889655e-03
215	1.842968e-01	9.283340e-03
220	1.668337e-01	7.796101e-03
225	1.518188e-01	6.851517e-03
230	1.377961e-01	6.554188e-03
235	1.260000e-01	5.702037e-03
240	1.147909e-01	5.461474e-03
245	1.050947e-01	4.993709e-03
250	9.589456e-02	4.552337e-03
255	8.786199e-02	4.135619e-03
260	8.022549e-02	3.869668e-03
265	7.404288e-02	3.466664e-03
270	6.811681e-02	3.150537e-03
275	6.276144e-02	2.941012e-03
280	5.751817e-02	2.717324e-03
285	5.334174e-02	2.485795e-03
290	4.954497e-02	2.285735e-03
295	4.557559e-02	2.175772e-03
300	4.192331e-02	1.990183e-03
305	3.903372e-02	1.861396e-03
310	3.618107e-02	1.696754e-03
315	3.356162e-02	1.605292e-03
320	3.120213e-02	1.515749e-03
325	2.882494e-02	1.387923e-03
330	2.681284e-02	1.354125e-03
335	2.496928e-02	1.255889e-03
340	2.327544e-02	1.159434e-03
345	2.179942e-02	1.101619e-03
350	2.033198e-02	9.880333e-04
355	1.893638e-02	9.431286e-04
360	1.774430e-02	9.120168e-04
365	1.654535e-02	8.419713e-04
370	1.564858e-02	8.161093e-04
375	1.458293e-02	7.174841e-04
380	1.340156e-02	6.950147e-04
385	1.270918e-02	6.797226e-04
390	1.191210e-02	6.565698e-04
395	1.114137e-02	5.616671e-04
400	1.044286e-02	5.407239e-04
405	9.940439e-03	5.444761e-04
410	9.213225e-03	4.936611e-04
415	8.660220e-03	4.706389e-04
420	8.137940e-03	4.451904e-04
425	7.733186e-03	4.220223e-04
430	7.201156e-03	4.017779e-04
435	6.774427e-03	3.834410e-04
440	6.442243e-03	3.598004e-04
445	6.006993e-03	3.453093e-04
450	5.597056e-03	3.212147e-04
455	5.386370e-03	3.112875e-04
460	5.028315e-03	2.997509e-04
465	4.694616e-03	2.841272e-04
470	4.525936e-03	2.735204e-04
475	4.224824e-03	2.544289e-04
480	3.947694e-03	2.434712e-04
500	3.119809e-03	2.032034e-04
525	2.369840e-03	1.648794e-04
550	1.844436e-03	1.277291e-04
575	1.416083e-03	1.092582e-04
600	1.122872e-03	9.118457e-05
625	8.355851e-04	7.024377e-05
650	6.670105e-04	5.930878e-05
675	5.235510e-04	4.870023e-05
700	4.211928e-04	4.200323e-05
725	3.324839e-04	3.474183e-05
750	2.536540e-04	2.752812e-05
775	2.017605e-04	2.325295e-05
800	1.607215e-04	1.955946e-05
825	1.282294e-04	1.673354e-05
850	1.024882e-04	1.376978e-05
875	8.224403e-05	1.169915e-05
900	6.334541e-05	9.429240e-06
925	5.301678e-05	8.383880e-06
950	4.090904e-05	6.790753e-06
975	3.437398e-05	5.977661e-06
1000	2.778600e-05	5.099592e-06
1025	2.074716e-05	4.013463e-06
1050	1.823688e-05	3.752054e-06
1075	1.594757e-05	3.608451e-06
1100	1.193507e-05	2.858776e-06
1125	9.687472e-06	2.462864e-06
1150	8.569005e-06	2.328095e-06
1175	5.454165e-06	1.565799e-06
1200	5.203687e-06	1.587920e-06
1225	3.896416e-06	1.263619e-06
1250	3.163212e-06	1.094228e-06
1275	2.787916e-06	1.033519e-06
1300	2.460153e-06	9.760015e-07
1325	1.998197e-06	8.407109e-07
1350	1.483940e-06	6.702542e-07
1375	1.577789e-06	7.631194e-07
1400	9.760695e-07	4.911837e-07
1425	8.645185e-07	4.645400e-07
1450	5.951779e-07	3.356696e-07
1475	4.109924e-07	2.480428e-07
1500	3.873132e-07	2.462090e-07
1525	3.673602e-07	2.498135e-07
1550	2.500849e-07	1.812895e-07
1575	2.000495e-07	1.547150e-07
1600	1.596385e-07	1.327030e-07
1625	1.264311e-07	1.135792e-07
1650	1.012125e-07	9.638589e-08
1675	9.587545e-08	9.587545e-08
1700	7.877905e-08	7.877905e-08
1725	5.446640e-08	5.446640e-08
1750	3.815853e-08	3.815853e-08
1775	3.656765e-08	3.656765e-08
1800	3.002051e-08	3.002051e-08
1825	3.456768e-08	3.456768e-08
1850	1.986212e-08	1.986212e-08
1875	1.397931e-08	1.397931e-08
1900	1.566107e-08	1.566107e-08
1925	1.076775e-08	1.076775e-08
1950	1.025581e-08	1.025581e-08
1975	1.009061e-08	1.009061e-08
2000	6.769088e-09	6.769088e-09
