# From https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections8TeVsquarkantisquark
# Interactions - squarks 	Nominal (pb) ± Uncertainty
200 GeV 	183.39 ± 16.2039%
205 GeV 	161.698 ± 16.3809%
210 GeV 	142.58 ± 16.1868%
215 GeV 	125.929 ± 16.263%
220 GeV 	111.823 ± 15.7982%
225 GeV 	98.9543 ± 15.9605%
230 GeV 	88.0735 ± 16.0769%
235 GeV 	78.3726 ± 16.045%
240 GeV 	69.9287 ± 16.0252%
245 GeV 	62.4475 ± 16.026%
250 GeV 	55.8655 ± 15.983%
255 GeV 	50.0353 ± 15.9974%
260 GeV 	44.872 ± 16.064%
265 GeV 	40.3588 ± 15.9386%
270 GeV 	36.2952 ± 15.9145%
275 GeV 	32.6904 ± 15.9782%
280 GeV 	29.4837 ± 15.9878%
285 GeV 	26.684 ± 15.9539%
290 GeV 	24.0805 ± 15.9291%
295 GeV 	21.8754 ± 15.7976%
300 GeV 	19.8283 ± 15.8736%
305 GeV 	17.9775 ± 15.9464%
310 GeV 	16.3807 ± 15.6206%
315 GeV 	14.8797 ± 15.9309%
320 GeV 	13.6321 ± 15.8077%
325 GeV 	12.3823 ± 15.7923%
330 GeV 	11.3341 ± 15.6199%
335 GeV 	10.3402 ± 15.9272%
340 GeV 	9.4867 ± 15.7898%
345 GeV 	8.69857 ± 15.7828%
350 GeV 	7.98294 ± 15.7205%
355 GeV 	7.33082 ± 15.7911%
360 GeV 	6.74253 ± 15.735%
365 GeV 	6.2001 ± 15.7608%
370 GeV 	5.70703 ± 15.7492%
375 GeV 	5.26422 ± 15.7059%
380 GeV 	4.85531 ± 15.7538%
385 GeV 	4.48249 ± 15.6609%
390 GeV 	4.13982 ± 15.7766%
395 GeV 	3.83124 ± 15.7276%
400 GeV 	3.54338 ± 15.6882%
405 GeV 	3.27974 ± 15.7281%
410 GeV 	3.03212 ± 15.632%
415 GeV 	2.80824 ± 15.6483%
420 GeV 	2.60479 ± 15.6572%
425 GeV 	2.41646 ± 15.4725%
430 GeV 	2.24263 ± 15.4118%
