# From https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# Mass of stops / sbottoms	Cross section (pb) ± Uncertainty (NNLOapprox + NNLL)
100. GeV	0.177E+04 ± 6.77 %
105. GeV	0.145E+04 ± 6.74 %
110. GeV	0.120E+04 ± 6.71 %
115. GeV	0.998E+03 ± 6.69 %
120. GeV	0.832E+03 ± 6.67 %
125. GeV	0.697E+03 ± 6.65 %
130. GeV	0.586E+03 ± 6.63 %
135. GeV	0.495E+03 ± 6.61 %
140. GeV	0.419E+03 ± 6.59 %
145. GeV	0.357E+03 ± 6.58 %
150. GeV	0.304E+03 ± 6.57 %
155. GeV	0.261E+03 ± 6.55 %
160. GeV	0.224E+03 ± 6.54 %
165. GeV	0.194E+03 ± 6.53 %
170. GeV	0.168E+03 ± 6.52 %
175. GeV	0.146E+03 ± 6.52 %
180. GeV	0.127E+03 ± 6.51 %
185. GeV	0.111E+03 ± 6.51 %
190. GeV	0.973E+02 ± 6.5 %
195. GeV	0.856E+02 ± 6.5 %
200. GeV	0.755E+02 ± 6.5 %
205. GeV	0.668E+02 ± 6.5 %
210. GeV	0.593E+02 ± 6.5 %
215. GeV	0.527E+02 ± 6.5 %
220. GeV	0.470E+02 ± 6.5 %
225. GeV	0.420E+02 ± 6.51 %
230. GeV	0.377E+02 ± 6.51 %
235. GeV	0.338E+02 ± 6.52 %
240. GeV	0.305E+02 ± 6.52 %
245. GeV	0.275E+02 ± 6.53 %
250. GeV	0.248E+02 ± 6.54 %
255. GeV	0.225E+02 ± 6.54 %
260. GeV	0.204E+02 ± 6.55 %
265. GeV	0.186E+02 ± 6.56 %
270. GeV	0.169E+02 ± 6.57 %
275. GeV	0.155E+02 ± 6.58 %
280. GeV	0.141E+02 ± 6.6 %
285. GeV	0.129E+02 ± 6.61 %
290. GeV	0.119E+02 ± 6.62 %
295. GeV	0.109E+02 ± 6.63 %
300. GeV	0.100E+02 ± 6.65 %
305. GeV	0.918E+01 ± 6.66 %
310. GeV	0.843E+01 ± 6.67 %
315. GeV	0.775E+01 ± 6.69 %
320. GeV	0.713E+01 ± 6.7 %
325. GeV	0.657E+01 ± 6.71 %
330. GeV	0.606E+01 ± 6.73 %
335. GeV	0.559E+01 ± 6.74 %
340. GeV	0.517E+01 ± 6.76 %
345. GeV	0.478E+01 ± 6.78 %
350. GeV	0.443E+01 ± 6.79 %
355. GeV	0.410E+01 ± 6.81 %
360. GeV	0.381E+01 ± 6.83 %
365. GeV	0.354E+01 ± 6.85 %
370. GeV	0.329E+01 ± 6.87 %
375. GeV	0.306E+01 ± 6.89 %
380. GeV	0.285E+01 ± 6.91 %
385. GeV	0.265E+01 ± 6.93 %
390. GeV	0.247E+01 ± 6.95 %
395. GeV	0.231E+01 ± 6.97 %
400. GeV	0.215E+01 ± 6.99 %
405. GeV	0.201E+01 ± 7.01 %
410. GeV	0.188E+01 ± 7.04 %
415. GeV	0.176E+01 ± 7.06 %
420. GeV	0.164E+01 ± 7.09 %
425. GeV	0.154E+01 ± 7.11 %
430. GeV	0.144E+01 ± 7.14 %
435. GeV	0.135E+01 ± 7.16 %
440. GeV	0.126E+01 ± 7.19 %
445. GeV	0.119E+01 ± 7.22 %
450. GeV	0.111E+01 ± 7.25 %
455. GeV	0.105E+01 ± 7.27 %
460. GeV	0.983E+00 ± 7.3 %
465. GeV	0.925E+00 ± 7.33 %
470. GeV	0.870E+00 ± 7.36 %
475. GeV	0.819E+00 ± 7.38 %
480. GeV	0.771E+00 ± 7.41 %
485. GeV	0.727E+00 ± 7.44 %
490. GeV	0.685E+00 ± 7.47 %
495. GeV	0.646E+00 ± 7.5 %
500. GeV	0.609E+00 ± 7.53 %
505. GeV	0.575E+00 ± 7.56 %
510. GeV	0.543E+00 ± 7.58 %
515. GeV	0.513E+00 ± 7.61 %
520. GeV	0.484E+00 ± 7.64 %
525. GeV	0.458E+00 ± 7.67 %
530. GeV	0.433E+00 ± 7.7 %
535. GeV	0.409E+00 ± 7.73 %
540. GeV	0.387E+00 ± 7.75 %
545. GeV	0.367E+00 ± 7.78 %
550. GeV	0.347E+00 ± 7.81 %
555. GeV	0.329E+00 ± 7.84 %
560. GeV	0.312E+00 ± 7.87 %
565. GeV	0.296E+00 ± 7.9 %
570. GeV	0.280E+00 ± 7.93 %
575. GeV	0.266E+00 ± 7.96 %
580. GeV	0.252E+00 ± 7.99 %
585. GeV	0.240E+00 ± 8.02 %
590. GeV	0.228E+00 ± 8.05 %
595. GeV	0.216E+00 ± 8.08 %
600. GeV	0.205E+00 ± 8.12 %
605. GeV	0.195E+00 ± 8.15 %
610. GeV	0.186E+00 ± 8.18 %
615. GeV	0.177E+00 ± 8.21 %
620. GeV	0.168E+00 ± 8.25 %
625. GeV	0.160E+00 ± 8.28 %
630. GeV	0.152E+00 ± 8.31 %
635. GeV	0.145E+00 ± 8.35 %
640. GeV	0.138E+00 ± 8.38 %
645. GeV	0.131E+00 ± 8.42 %
650. GeV	0.125E+00 ± 8.45 %
655. GeV	0.119E+00 ± 8.49 %
660. GeV	0.114E+00 ± 8.52 %
665. GeV	0.108E+00 ± 8.56 %
670. GeV	0.103E+00 ± 8.59 %
675. GeV	0.987E-01 ± 8.63 %
680. GeV	0.942E-01 ± 8.66 %
685. GeV	0.899E-01 ± 8.7 %
690. GeV	0.858E-01 ± 8.73 %
695. GeV	0.820E-01 ± 8.77 %
700. GeV	0.783E-01 ± 8.8 %
705. GeV	0.748E-01 ± 8.84 %
710. GeV	0.715E-01 ± 8.88 %
715. GeV	0.683E-01 ± 8.91 %
720. GeV	0.653E-01 ± 8.95 %
725. GeV	0.624E-01 ± 8.98 %
730. GeV	0.597E-01 ± 9.02 %
735. GeV	0.571E-01 ± 9.05 %
740. GeV	0.546E-01 ± 9.09 %
745. GeV	0.523E-01 ± 9.13 %
750. GeV	0.500E-01 ± 9.16 %
755. GeV	0.479E-01 ± 9.2 %
760. GeV	0.459E-01 ± 9.24 %
765. GeV	0.439E-01 ± 9.27 %
770. GeV	0.421E-01 ± 9.31 %
775. GeV	0.403E-01 ± 9.35 %
780. GeV	0.386E-01 ± 9.38 %
785. GeV	0.370E-01 ± 9.42 %
790. GeV	0.355E-01 ± 9.46 %
795. GeV	0.340E-01 ± 9.5 %
800. GeV	0.326E-01 ± 9.53 %
805. GeV	0.313E-01 ± 9.57 %
810. GeV	0.300E-01 ± 9.61 %
815. GeV	0.288E-01 ± 9.65 %
820. GeV	0.276E-01 ± 9.69 %
825. GeV	0.265E-01 ± 9.73 %
830. GeV	0.254E-01 ± 9.77 %
835. GeV	0.244E-01 ± 9.81 %
840. GeV	0.234E-01 ± 9.85 %
845. GeV	0.225E-01 ± 9.89 %
850. GeV	0.216E-01 ± 9.93 %
855. GeV	0.208E-01 ± 9.97 %
860. GeV	0.199E-01 ± 10.01 %
865. GeV	0.192E-01 ± 10.05 %
870. GeV	0.184E-01 ± 10.09 %
875. GeV	0.177E-01 ± 10.13 %
880. GeV	0.170E-01 ± 10.17 %
885. GeV	0.164E-01 ± 10.21 %
890. GeV	0.157E-01 ± 10.25 %
895. GeV	0.151E-01 ± 10.29 %
900. GeV	0.145E-01 ± 10.33 %
905. GeV	0.140E-01 ± 10.38 %
910. GeV	0.135E-01 ± 10.42 %
915. GeV	0.129E-01 ± 10.46 %
920. GeV	0.125E-01 ± 10.5 %
925. GeV	0.120E-01 ± 10.54 %
930. GeV	0.115E-01 ± 10.59 %
935. GeV	0.111E-01 ± 10.63 %
940. GeV	0.107E-01 ± 10.67 %
945. GeV	0.103E-01 ± 10.71 %
950. GeV	0.991E-02 ± 10.76 %
955. GeV	0.954E-02 ± 10.8 %
960. GeV	0.919E-02 ± 10.84 %
965. GeV	0.885E-02 ± 10.89 %
970. GeV	0.853E-02 ± 10.93 %
975. GeV	0.822E-02 ± 10.97 %
980. GeV	0.792E-02 ± 11.02 %
985. GeV	0.763E-02 ± 11.06 %
990. GeV	0.735E-02 ± 11.11 %
995. GeV	0.709E-02 ± 11.15 %
1000. GeV	0.683E-02 ± 11.2 %
1005. GeV	0.659E-02 ± 11.24 %
1010. GeV	0.635E-02 ± 11.29 %
1015. GeV	0.613E-02 ± 11.33 %
1020. GeV	0.591E-02 ± 11.38 %
1025. GeV	0.570E-02 ± 11.42 %
1030. GeV	0.550E-02 ± 11.47 %
1035. GeV	0.530E-02 ± 11.51 %
1040. GeV	0.511E-02 ± 11.56 %
1045. GeV	0.493E-02 ± 11.6 %
1050. GeV	0.476E-02 ± 11.65 %
1055. GeV	0.460E-02 ± 11.7 %
1060. GeV	0.444E-02 ± 11.74 %
1065. GeV	0.428E-02 ± 11.79 %
1070. GeV	0.413E-02 ± 11.84 %
1075. GeV	0.399E-02 ± 11.88 %
1080. GeV	0.385E-02 ± 11.93 %
1085. GeV	0.372E-02 ± 11.98 %
1090. GeV	0.359E-02 ± 12.03 %
1095. GeV	0.347E-02 ± 12.07 %
1100. GeV	0.335E-02 ± 12.12 %
1105. GeV	0.324E-02 ± 12.17 %
1110. GeV	0.313E-02 ± 12.22 %
1115. GeV	0.302E-02 ± 12.27 %
1120. GeV	0.292E-02 ± 12.32 %
1125. GeV	0.282E-02 ± 12.37 %
1130. GeV	0.272E-02 ± 12.42 %
1135. GeV	0.263E-02 ± 12.47 %
1140. GeV	0.254E-02 ± 12.52 %
1145. GeV	0.246E-02 ± 12.57 %
1150. GeV	0.238E-02 ± 12.62 %
1155. GeV	0.230E-02 ± 12.67 %
1160. GeV	0.222E-02 ± 12.72 %
1165. GeV	0.215E-02 ± 12.77 %
1170. GeV	0.208E-02 ± 12.82 %
1175. GeV	0.201E-02 ± 12.87 %
1180. GeV	0.194E-02 ± 12.93 %
1185. GeV	0.188E-02 ± 12.98 %
1190. GeV	0.182E-02 ± 13.03 %
1195. GeV	0.176E-02 ± 13.08 %
1200. GeV	0.170E-02 ± 13.13 %
1205. GeV	0.164E-02 ± 13.19 %
1210. GeV	0.159E-02 ± 13.24 %
1215. GeV	0.154E-02 ± 13.29 %
1220. GeV	0.149E-02 ± 13.34 %
1225. GeV	0.144E-02 ± 13.4 %
1230. GeV	0.139E-02 ± 13.45 %
1235. GeV	0.135E-02 ± 13.5 %
1240. GeV	0.131E-02 ± 13.55 %
1245. GeV	0.126E-02 ± 13.61 %
1250. GeV	0.122E-02 ± 13.66 %
1255. GeV	0.118E-02 ± 13.72 %
1260. GeV	0.115E-02 ± 13.77 %
1265. GeV	0.111E-02 ± 13.82 %
1270. GeV	0.107E-02 ± 13.88 %
1275. GeV	0.104E-02 ± 13.93 %
1280. GeV	0.101E-02 ± 13.99 %
1285. GeV	0.976E-03 ± 14.04 %
1290. GeV	0.945E-03 ± 14.1 %
1295. GeV	0.915E-03 ± 14.15 %
1300. GeV	0.887E-03 ± 14.21 %
1305. GeV	0.859E-03 ± 14.26 %
1310. GeV	0.832E-03 ± 14.32 %
1315. GeV	0.806E-03 ± 14.38 %
1320. GeV	0.781E-03 ± 14.43 %
1325. GeV	0.756E-03 ± 14.49 %
1330. GeV	0.733E-03 ± 14.55 %
1335. GeV	0.710E-03 ± 14.61 %
1340. GeV	0.688E-03 ± 14.66 %
1345. GeV	0.667E-03 ± 14.72 %
1350. GeV	0.646E-03 ± 14.78 %
1355. GeV	0.626E-03 ± 14.84 %
1360. GeV	0.607E-03 ± 14.9 %
1365. GeV	0.588E-03 ± 14.95 %
1370. GeV	0.570E-03 ± 15.01 %
1375. GeV	0.553E-03 ± 15.07 %
1380. GeV	0.536E-03 ± 15.13 %
1385. GeV	0.519E-03 ± 15.19 %
1390. GeV	0.503E-03 ± 15.25 %
1395. GeV	0.488E-03 ± 15.31 %
1400. GeV	0.473E-03 ± 15.37 %
1405. GeV	0.459E-03 ± 15.43 %
1410. GeV	0.445E-03 ± 15.49 %
1415. GeV	0.431E-03 ± 15.55 %
1420. GeV	0.418E-03 ± 15.62 %
1425. GeV	0.406E-03 ± 15.68 %
1430. GeV	0.393E-03 ± 15.74 %
1435. GeV	0.382E-03 ± 15.8 %
1440. GeV	0.370E-03 ± 15.86 %
1445. GeV	0.359E-03 ± 15.93 %
1450. GeV	0.348E-03 ± 15.99 %
1455. GeV	0.338E-03 ± 16.05 %
1460. GeV	0.328E-03 ± 16.11 %
1465. GeV	0.318E-03 ± 16.18 %
1470. GeV	0.308E-03 ± 16.24 %
1475. GeV	0.299E-03 ± 16.31 %
1480. GeV	0.290E-03 ± 16.37 %
1485. GeV	0.282E-03 ± 16.43 %
1490. GeV	0.273E-03 ± 16.5 %
1495. GeV	0.265E-03 ± 16.56 %
1500. GeV	0.257E-03 ± 16.63 %
1505. GeV	0.250E-03 ± 16.69 %
1510. GeV	0.242E-03 ± 16.76 %
1515. GeV	0.235E-03 ± 16.82 %
1520. GeV	0.228E-03 ± 16.89 %
1525. GeV	0.222E-03 ± 16.95 %
1530. GeV	0.215E-03 ± 17.02 %
1535. GeV	0.209E-03 ± 17.08 %
1540. GeV	0.203E-03 ± 17.15 %
1545. GeV	0.197E-03 ± 17.21 %
1550. GeV	0.191E-03 ± 17.28 %
1555. GeV	0.185E-03 ± 17.35 %
1560. GeV	0.180E-03 ± 17.41 %
1565. GeV	0.175E-03 ± 17.48 %
1570. GeV	0.170E-03 ± 17.55 %
1575. GeV	0.165E-03 ± 17.62 %
1580. GeV	0.160E-03 ± 17.68 %
1585. GeV	0.155E-03 ± 17.75 %
1590. GeV	0.151E-03 ± 17.82 %
1595. GeV	0.146E-03 ± 17.89 %
1600. GeV	0.142E-03 ± 17.96 %
1605. GeV	0.138E-03 ± 18.03 %
1610. GeV	0.134E-03 ± 18.1 %
1615. GeV	0.130E-03 ± 18.17 %
1620. GeV	0.127E-03 ± 18.24 %
1625. GeV	0.123E-03 ± 18.31 %
1630. GeV	0.119E-03 ± 18.38 %
1635. GeV	0.116E-03 ± 18.45 %
1640. GeV	0.113E-03 ± 18.52 %
1645. GeV	0.109E-03 ± 18.59 %
1650. GeV	0.106E-03 ± 18.67 %
1655. GeV	0.103E-03 ± 18.74 %
1660. GeV	0.100E-03 ± 18.81 %
1665. GeV	0.974E-04 ± 18.88 %
1670. GeV	0.946E-04 ± 18.96 %
1675. GeV	0.920E-04 ± 19.03 %
1680. GeV	0.893E-04 ± 19.1 %
1685. GeV	0.868E-04 ± 19.18 %
1690. GeV	0.843E-04 ± 19.25 %
1695. GeV	0.819E-04 ± 19.33 %
1700. GeV	0.796E-04 ± 19.4 %
1705. GeV	0.774E-04 ± 19.48 %
1710. GeV	0.752E-04 ± 19.55 %
1715. GeV	0.731E-04 ± 19.63 %
1720. GeV	0.710E-04 ± 19.7 %
1725. GeV	0.690E-04 ± 19.78 %
1730. GeV	0.671E-04 ± 19.85 %
1735. GeV	0.652E-04 ± 19.93 %
1740. GeV	0.633E-04 ± 20.01 %
1745. GeV	0.616E-04 ± 20.08 %
1750. GeV	0.598E-04 ± 20.16 %
1755. GeV	0.582E-04 ± 20.24 %
1760. GeV	0.565E-04 ± 20.31 %
1765. GeV	0.550E-04 ± 20.39 %
1770. GeV	0.534E-04 ± 20.47 %
1775. GeV	0.519E-04 ± 20.55 %
1780. GeV	0.505E-04 ± 20.63 %
1785. GeV	0.491E-04 ± 20.71 %
1790. GeV	0.477E-04 ± 20.79 %
1795. GeV	0.464E-04 ± 20.86 %
1800. GeV	0.451E-04 ± 20.94 %
1805. GeV	0.438E-04 ± 21.02 %
1810. GeV	0.426E-04 ± 21.1 %
1815. GeV	0.414E-04 ± 21.19 %
1820. GeV	0.403E-04 ± 21.27 %
1825. GeV	0.392E-04 ± 21.35 %
1830. GeV	0.381E-04 ± 21.43 %
1835. GeV	0.370E-04 ± 21.51 %
1840. GeV	0.360E-04 ± 21.59 %
1845. GeV	0.350E-04 ± 21.68 %
1850. GeV	0.340E-04 ± 21.76 %
1855. GeV	0.331E-04 ± 21.84 %
1860. GeV	0.322E-04 ± 21.92 %
1865. GeV	0.313E-04 ± 22.01 %
1870. GeV	0.304E-04 ± 22.09 %
