# Chargino Chargino Cross Section vs Chargino mass as used by CMS in SUS12022
# https://twiki.cern.ch/twiki/bin/view/CMSPublic/WinoCc
# mC1 [GeV]	Cross Section [fb]	Uncertainty [fb]
50 214171.24
100 5823.4 201.055
105 4891.13 178.509
110 4108.1 149.932
115 3450.43 125.929
120 2898.05 105.769
125 2434.1 88.8363
130 2111.13 83.008
135 1831.02 71.9941
140 1588.07 62.4415
145 1377.35 54.1565
150 1194.6 46.9707
155 1057.56 44.7311
160 936.239 39.5997
165 828.836 35.0569
170 733.754 31.0353
175 649.58 27.475
180 583.296 26.3518
185 523.776 23.6628
190 470.329 21.2482
195 422.336 19.08
200 379.24 17.1331
205 344.156 17.2936
210 312.318 15.6938
215 283.424 14.2419
220 257.204 12.9244
225 233.41 11.7287
230 213.615 10.9278
235 195.5 10.0011
240 178.92 9.15295
245 163.747 8.37673
250 149.86 7.66633
255 138.011 7.61063
260 127.098 7.00885
265 117.048 6.45466
270 107.793 5.94429
275 99.27 5.47427
280 91.9027 5.42537
285 85.0821 5.02273
290 78.7677 4.64996
295 72.9219 4.30486
300 67.51 3.98538
305 62.7854 3.83197
310 58.3914 3.56379
315 54.305 3.31438
320 50.5045 3.08243
325 46.97 2.86671
330 43.8423 2.80728
335 40.9228 2.62034
340 38.1978 2.44585
345 35.6542 2.28298
350 33.28 2.13096
355 31.1607 2.18147
360 29.1764 2.04256
365 27.3185 1.91249
370 25.5789 1.7907
375 23.95 1.67667
380 22.4958 1.57487
385 21.1299 1.47925
390 19.847 1.38943
395 18.6419 1.30507
400 17.51 1.19184
405 16.4797 1.23696
410 15.51 1.16418
415 14.5973 1.09568
420 13.7384 1.0312
425 12.93 0.970526
430 12.1976 0.91685
435 11.5067 0.864917
440 10.8549 0.815924
445 10.24 0.769707
450 9.66 0.726108
455 9.12868 0.717865
460 8.62658 0.678381
465 8.1521 0.641068
470 7.70372 0.605808
475 7.28 0.572488
480 6.89049 0.561564
485 6.52182 0.531519
490 6.17288 0.50308
495 5.8426 0.476163
500 5.53 0.450687
505 5.24141 0.430945
510 4.96788 0.408455
515 4.70863 0.38714
520 4.4629 0.366936
525 4.23 0.347787
530 4.01528 0.33123
535 3.81146 0.314416
540 3.61798 0.298456
545 3.43433 0.283306
550 3.26 0.268925
555 3.09638 0.28823
560 2.94097 0.273763
565 2.79336 0.260023
570 2.65316 0.246972
575 2.52 0.234577
580 2.39647 0.226539
585 2.27899 0.215434
590 2.16727 0.204873
595 2.06103 0.19483
600 1.96 0.18528
605 1.86771 0.176989
610 1.77976 0.168655
615 1.69596 0.160714
620 1.6161 0.153146
625 1.54 0.145935
630 1.46748 0.143258
635 1.39838 0.136513
640 1.33254 0.130085
645 1.26979 0.123959
650 1.21 0.118122
655 1.15527 0.112779
660 1.10301 0.107678
665 1.05312 0.102807
670 1.00548 0.0981568
675 0.96 0.0910989
680 0.916178 0.0922751
685 0.874356 0.0880629
690 0.834443 0.0840429
695 0.796352 0.0802065
700 0.76 0.0765452
705 0.724905 0.0762771
710 0.691431 0.0727548
715 0.659502 0.0693952
720 0.629048 0.0661907
725 0.6 0.0631341
730 0.573812 0.0613522
735 0.548766 0.0586744
740 0.524814 0.0561134
745 0.501907 0.0536642
750 0.48 0.0513219
755 0.460475 0.0511853
760 0.441744 0.0491032
765 0.423775 0.0471058
770 0.406537 0.0451896
775 0.39 0.0433514
780 0.372498 0.0468134
785 0.355782 0.0447126
790 0.339815 0.042706
795 0.324565 0.0407895
800 0.31 0.038959
805 0.296946 0.0373184
810 0.284442 0.035747
815 0.272464 0.0342417
820 0.26099 0.0327997
825 0.25 0.0282179
830 0.239088 0.0281455
835 0.228653 0.026917
840 0.218672 0.0257421
845 0.209128 0.0246185
850 0.2 0.023544
855 0.19127 0.0244834
860 0.182922 0.0234147
865 0.174938 0.0223927
870 0.167302 0.0214153
875 0.16 0.0204806
880 0.153492 0.0214762
885 0.147248 0.0206026
890 0.141258 0.0197646
895 0.135512 0.0189606
900 0.13 0.0181893
905 0.125728 0.0175916
910 0.121597 0.0170136
915 0.117602 0.0164545
920 0.113737 0.0159139
925 0.11 0.0149187
930 0.105673 0.0160574
935 0.101516 0.0154257
940 0.097522 0.0148189
945 0.0936855 0.0142359
950 0.09 0.0136759
955 0.0855881 0.0143587
960 0.0813926 0.0136548
965 0.0774027 0.0129854
970 0.0736083 0.0123489
975 0.07 0.0117435
980 0.0678748 0.011387
985 0.0658142 0.0110413
990 0.0638161 0.0107061
995 0.0618786 0.010381
1000 0.06 0.00894543
