#: table_doi: 10.17182/hepdata.85726.v1/t66
#: name: Efficiency 3l SR3L-DFOS-1Jb
#: description: Efficiencies for $3L$ DFOS signal region SR3L-DFOS-1Jb. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Efficiency_DFOS_1jb.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,0.4794
152.5,22.5,0.3513
162.5,12.5,0.738
175.0,0.0,0.6908
175.0,25.0,1.0815
177.5,47.5,0.4536
187.5,12.5,0.4375
187.5,37.5,0.5017
190.0,60.0,0.563
200.0,0.0,0.4264
200.0,25.0,0.4459
200.0,50.0,0.6186
202.5,72.5,0.1553
212.5,12.5,0.5055
212.5,37.5,0.457
212.5,62.5,0.9489
215.0,85.0,0.2572
225.0,0.0,0.2396
225.0,25.0,0.7458
225.0,50.0,0.9391
225.0,75.0,0.4843
227.5,97.5,1.2747
237.5,12.5,0.0
237.5,37.5,0.2562
237.5,62.5,0.2165
237.5,87.5,0.6615
240.0,110.0,0.3888
250.0,0.0,0.3673
250.0,100.0,0.5437
250.0,25.0,0.6124
250.0,50.0,1.1778
250.0,75.0,0.4081
262.5,12.5,0.4899
262.5,37.5,0.2139
262.5,62.5,0.2121
262.5,87.5,0.564
275.0,0.0,0.4536
275.0,25.0,0.4632
275.0,50.0,0.1713
275.0,75.0,0.2549
287.5,12.5,1.3837
287.5,37.5,0.721
287.5,62.5,0.1156
300.0,0.0,0.4344
300.0,100.0,0.4213
300.0,25.0,0.835
300.0,50.0,0.7457
300.0,75.0,0.6129
312.5,12.5,0.5513
325.0,0.0,0.1946
325.0,100.0,0.8501
325.0,25.0,0.4244
325.0,50.0,0.4231
325.0,75.0,0.2838
337.5,12.5,0.2614
350.0,0.0,0.2589
350.0,100.0,0.3466
350.0,25.0,1.0508
350.0,50.0,0.3096
350.0,75.0,0.7678
375.0,0.0,0.4146
375.0,25.0,0.463
375.0,50.0,0.558
375.0,75.0,0.8063
400.0,0.0,0.5865
400.0,100.0,0.1229
400.0,25.0,0.0
400.0,50.0,0.8801
400.0,75.0,1.2693
425.0,0.0,0.4889
425.0,100.0,0.5791
425.0,25.0,0.3891
425.0,50.0,0.3521
425.0,75.0,0.2708
450.0,0.0,0.5985
450.0,100.0,0.3503
450.0,25.0,0.5763
450.0,50.0,0.5998
450.0,75.0,0.6655
475.0,0.0,0.22
475.0,100.0,0.705
475.0,25.0,0.7745
475.0,50.0,0.5241
475.0,75.0,0.4458
500.0,0.0,0.3105
500.0,25.0,0.4372
500.0,50.0,0.2004
500.0,75.0,0.4198
525.0,0.0,0.5474
525.0,25.0,0.0
525.0,50.0,0.2875
550.0,0.0,0.4007
550.0,25.0,0.424
575.0,25.0,0.2436

