#: table_doi: 10.17182/hepdata.85726.v1/t64
#: name: Efficiency 3l SR3L-DFOS-1Ja
#: description: Efficiencies for $3L$ DFOS signal region SR3L-DFOS-1Ja. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Efficiency_DFOS_1ja.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,0.5699
152.5,22.5,0.5721
162.5,12.5,0.5809
175.0,0.0,0.562
175.0,25.0,0.4119
177.5,47.5,0.5476
187.5,12.5,0.337
187.5,37.5,0.6508
190.0,60.0,0.584
200.0,0.0,0.609
200.0,25.0,0.7402
200.0,50.0,0.2923
202.5,72.5,0.4945
212.5,12.5,0.803
212.5,37.5,0.6236
212.5,62.5,0.7441
215.0,85.0,0.8004
225.0,0.0,0.22
225.0,25.0,0.6894
225.0,50.0,0.9722
225.0,75.0,0.6933
227.5,97.5,0.4538
237.5,12.5,0.0
237.5,37.5,2.1413
237.5,62.5,0.1669
237.5,87.5,0.5023
240.0,110.0,1.2044
250.0,0.0,0.9574
250.0,100.0,0.7073
250.0,25.0,0.4328
250.0,50.0,0.1349
250.0,75.0,1.1713
262.5,12.5,0.7535
262.5,37.5,0.8607
262.5,62.5,0.3532
262.5,87.5,0.3271
275.0,0.0,0.6322
275.0,25.0,0.6917
275.0,50.0,0.4811
275.0,75.0,0.3204
287.5,12.5,0.137
287.5,37.5,0.3997
287.5,62.5,1.4823
300.0,0.0,0.5046
300.0,100.0,1.1348
300.0,25.0,1.257
300.0,50.0,1.9273
300.0,75.0,0.4915
312.5,12.5,0.5727
325.0,0.0,0.4004
325.0,100.0,0.7401
325.0,25.0,0.4619
325.0,50.0,0.9406
325.0,75.0,0.9089
337.5,12.5,1.3719
350.0,0.0,0.5453
350.0,100.0,0.7636
350.0,25.0,0.5503
350.0,50.0,0.7404
350.0,75.0,0.6897
375.0,0.0,1.4544
375.0,25.0,0.0
375.0,50.0,0.3183
375.0,75.0,0.3756
400.0,0.0,0.4407
400.0,100.0,0.0
400.0,25.0,0.4407
400.0,50.0,1.3828
400.0,75.0,0.512
425.0,0.0,0.282
425.0,100.0,0.4317
425.0,25.0,0.0
425.0,50.0,0.6174
425.0,75.0,0.545
450.0,0.0,0.0
450.0,100.0,0.7073
450.0,25.0,0.7249
450.0,50.0,0.5501
450.0,75.0,1.5284
475.0,0.0,0.2462
475.0,100.0,0.622
475.0,25.0,0.7549
475.0,50.0,0.0
475.0,75.0,0.6566
500.0,0.0,0.3294
500.0,25.0,0.7225
500.0,50.0,0.0
500.0,75.0,1.4581
525.0,0.0,0.7464
525.0,25.0,0.0
525.0,50.0,1.0073
550.0,0.0,0.4346
550.0,25.0,0.0
575.0,25.0,0.274

