#: table_doi: 10.17182/hepdata.85726.v1/t58
#: name: Efficiency 3l SR3L-SFOS-0Ja
#: description: Efficiencies for $3L$ SFOS signal region SR3L-SFOS-0Ja. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Efficiency_SFOS_0ja.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,0.7037
152.5,22.5,0.8551
162.5,12.5,0.3157
175.0,0.0,0.4342
175.0,25.0,0.5734
177.5,47.5,0.8994
187.5,12.5,0.2145
187.5,37.5,0.3078
190.0,60.0,0.5387
200.0,0.0,0.4955
200.0,25.0,0.6838
200.0,50.0,0.6519
202.5,72.5,0.4209
212.5,12.5,0.6425
212.5,37.5,0.6981
212.5,62.5,0.7379
215.0,85.0,0.271
225.0,0.0,0.2234
225.0,25.0,0.5739
225.0,50.0,0.785
225.0,75.0,0.2486
227.5,97.5,0.0671
237.5,12.5,0.4787
237.5,37.5,1.1373
237.5,62.5,0.5735
237.5,87.5,0.2587
240.0,110.0,1.3392
250.0,0.0,0.5956
250.0,100.0,0.4661
250.0,25.0,0.6462
250.0,50.0,1.2144
250.0,75.0,0.6119
262.5,12.5,0.743
262.5,37.5,0.3675
262.5,62.5,0.948
262.5,87.5,1.1015
275.0,0.0,0.2705
275.0,25.0,0.5299
275.0,50.0,0.9842
275.0,75.0,0.182
287.5,12.5,0.4539
287.5,37.5,0.3868
287.5,62.5,0.948
300.0,0.0,0.0
300.0,100.0,0.3785
300.0,25.0,0.4646
300.0,50.0,2.4533
300.0,75.0,0.0
312.5,12.5,0.2597
325.0,0.0,0.2644
325.0,100.0,1.1404
325.0,25.0,0.377
325.0,50.0,0.0
325.0,75.0,0.336
337.5,12.5,0.6968
350.0,0.0,0.0
350.0,100.0,0.3402
350.0,25.0,0.2686
350.0,50.0,0.5959
350.0,75.0,0.0
375.0,0.0,0.4279
375.0,25.0,0.6372
375.0,50.0,0.7619
375.0,75.0,0.4882
400.0,0.0,0.4136
400.0,100.0,0.5434
400.0,25.0,2.4533
400.0,50.0,1.1237
400.0,75.0,0.0
425.0,0.0,0.6516
425.0,100.0,0.768
425.0,25.0,0.2469
425.0,50.0,0.6935
425.0,75.0,0.0
450.0,0.0,0.0
450.0,100.0,0.0
450.0,25.0,0.1633
450.0,50.0,0.4747
450.0,75.0,0.0
475.0,0.0,0.8045
475.0,100.0,0.4348
475.0,25.0,0.0
475.0,50.0,0.3724
475.0,75.0,0.0
500.0,0.0,0.7991
500.0,25.0,0.6968
500.0,50.0,0.4747
500.0,75.0,0.5734
525.0,0.0,0.0826
525.0,25.0,0.2554
525.0,50.0,0.4673
550.0,0.0,0.7379
550.0,25.0,0.0
575.0,25.0,0.2499

