#: table_doi: 10.17182/hepdata.79165.v2/t88
#: name: Limit on cross section 13
#: description: Cross section excluded at 95% CL for b1L-SRA450 as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data85.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.04662
1000.0,150.0,0.04602
1000.0,200.0,0.04521
1000.0,250.0,0.05108
1000.0,350.0,0.05524
1000.0,450.0,0.0519
1000.0,500.0,0.06589
1050.0,100.0,0.04894
1050.0,150.0,0.04186
1050.0,200.0,0.0435
1050.0,300.0,0.04124
1050.0,350.0,0.04594
1050.0,400.0,0.05224
1050.0,450.0,0.05415
1050.0,500.0,0.04835
1050.0,550.0,0.05324
1100.0,100.0,0.04503
1100.0,150.0,0.04366
1100.0,200.0,0.04261
1100.0,250.0,0.05487
1100.0,300.0,0.05232
1100.0,350.0,0.04801
1100.0,400.0,0.05092
1100.0,450.0,0.05422
1100.0,500.0,0.05124
1100.0,550.0,0.05231
1150.0,100.0,0.04571
1150.0,200.0,0.04147
1150.0,250.0,0.04478
1150.0,300.0,0.04047
1150.0,350.0,0.04446
1150.0,400.0,0.04261
1150.0,450.0,0.04494
1150.0,500.0,0.04309
1150.0,550.0,0.05047
1200.0,150.0,0.04682
1200.0,200.0,0.04615
1200.0,250.0,0.04319
1200.0,350.0,0.04121
1200.0,400.0,0.04363
1200.0,450.0,0.04681
1200.0,500.0,0.05175
1200.0,550.0,0.05172
1250.0,100.0,0.05223
1250.0,150.0,0.04985
1250.0,200.0,0.04483
1250.0,250.0,0.04278
1250.0,300.0,0.04425
1250.0,350.0,0.05371
1250.0,400.0,0.04276
1250.0,450.0,0.04339
1250.0,500.0,0.03887
1250.0,550.0,0.04521
1300.0,150.0,0.04862
1300.0,200.0,0.04963
1300.0,300.0,0.04413
1300.0,350.0,0.04149
1300.0,400.0,0.04343
1300.0,450.0,0.04342
1300.0,550.0,0.04669
400.0,100.0,1.058
400.0,150.0,2.501
450.0,150.0,0.8844
450.0,200.0,1.788
500.0,100.0,0.1847
500.0,200.0,0.3895
500.0,250.0,0.7368
500.0,300.0,4.654
550.0,100.0,0.1305
550.0,250.0,0.2571
550.0,300.0,0.5593
600.0,100.0,0.09784
600.0,150.0,0.1092
600.0,200.0,0.123
600.0,250.0,0.1788
600.0,300.0,0.2247
600.0,350.0,0.6689
600.0,400.0,2.023
650.0,150.0,0.08848
650.0,200.0,0.09527
650.0,250.0,0.1157
650.0,300.0,0.1396
650.0,350.0,0.2643
650.0,400.0,0.5166
650.0,450.0,2.051
700.0,100.0,0.06503
700.0,200.0,0.07788
700.0,300.0,0.09722
700.0,350.0,0.1205
700.0,400.0,0.1688
750.0,100.0,0.05893
750.0,150.0,0.05896
750.0,200.0,0.06106
750.0,250.0,0.06767
750.0,300.0,0.07612
750.0,350.0,0.09253
750.0,400.0,0.1208
750.0,450.0,0.166
750.0,500.0,0.4677
750.0,550.0,1.733
800.0,100.0,0.04918
800.0,200.0,0.05944
800.0,250.0,0.06387
800.0,350.0,0.09291
800.0,400.0,0.07939
800.0,450.0,0.1156
800.0,500.0,0.1728
800.0,600.0,2.197
850.0,100.0,0.0529
850.0,150.0,0.04642
850.0,200.0,0.05582
850.0,300.0,0.05489
850.0,350.0,0.06611
850.0,450.0,0.08041
850.0,550.0,0.1593
850.0,600.0,0.5063
900.0,100.0,0.04375
900.0,150.0,0.04469
900.0,200.0,0.04835
900.0,250.0,0.05103
900.0,300.0,0.04878
900.0,350.0,0.05546
900.0,400.0,0.06828
900.0,450.0,0.06289
900.0,550.0,0.09913
900.0,600.0,0.1571
950.0,100.0,0.04777
950.0,150.0,0.04676
950.0,200.0,0.0486
950.0,250.0,0.05287
950.0,300.0,0.04996
950.0,400.0,0.06021
950.0,450.0,0.05578
950.0,500.0,0.06061
950.0,550.0,0.1007

