#: table_doi: 10.17182/hepdata.85726.v1/t46
#: name: Acceptance 1lyy SR1Lyy-a
#: description: Acceptance for $1l\gamma\gamma$ signal region SR1Lyy-a. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: 1Lyy_Acc_SRa.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Photon | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
150.0,0.0,2.551e-05
152.5,22.5,2.74e-05
162.5,12.5,3.333e-05
165.0,35.0,3.219e-05
175.0,0.0,4.473e-05
175.0,25.0,4.237e-05
177.5,47.5,3.605e-05
187.5,12.5,5.731e-05
187.5,37.5,4.754e-05
190.0,60.0,4.133e-05
200.0,25.0,5.95e-05
200.0,0.0,6.751e-05
200.0,50.0,5.315e-05
202.5,72.5,4.081e-05
212.5,37.5,6.209e-05
212.5,12.5,6.816e-05
212.5,62.5,5.715e-05
215.0,85.0,4.24e-05
225.0,0.0,7.485e-05
225.0,25.0,7.811e-05
225.0,50.0,6.868e-05
225.0,75.0,6.184e-05
237.5,12.5,8.431e-05
227.5,97.5,4.717e-05
237.5,37.5,8.206e-05
237.5,62.5,7.425e-05
237.5,87.5,6.365e-05
240.0,110.0,5.146e-05
250.0,0.0,8.761e-05
250.0,25.0,9.142e-05
250.0,50.0,8.136e-05
250.0,75.0,7.444e-05
250.0,100.0,6.664e-05
262.5,12.5,9.459e-05
262.5,37.5,8.942e-05
262.5,62.5,9.012e-05
262.5,87.5,7.847e-05
275.0,0.0,9.782e-05
275.0,25.0,9.86e-05
275.0,50.0,9.757e-05
275.0,75.0,8.729e-05
287.5,12.5,0.00010477
287.5,37.5,0.00010802
287.5,62.5,9.842e-05
300.0,0.0,0.00010872
300.0,25.0,0.00010783
300.0,50.0,0.00010763
300.0,75.0,0.00010176
300.0,100.0,9.717e-05
312.5,12.5,0.0001161
312.5,37.5,0.00011669
325.0,0.0,0.00012269
325.0,25.0,0.00012077
325.0,50.0,0.00011946
325.0,75.0,0.00011594
325.0,100.0,0.00011005
337.5,12.5,0.00012766
350.0,0.0,0.0001353
350.0,25.0,0.00013627
350.0,50.0,0.00013533
350.0,75.0,0.00012669
350.0,100.0,0.00012232
375.0,0.0,0.0001433
375.0,25.0,0.0001447
375.0,50.0,0.00014168
375.0,75.0,0.00014148
400.0,0.0,0.00015044
400.0,25.0,0.00014971
400.0,50.0,0.00014732
425.0,0.0,0.00015893
425.0,25.0,0.00015497
450.0,0.0,0.00016978
400.0,75.0,0.00014817
425.0,50.0,0.00016296
425.0,75.0,0.00014956
450.0,25.0,0.00016652
450.0,50.0,0.00016456
475.0,0.0,0.00017462
500.0,0.0,0.00018249
475.0,25.0,0.00017497

