#: table_doi: 10.17182/hepdata.85726.v1/t62
#: name: Efficiency 3l SR3L-DFOS-0J
#: description: Efficiencies for $3L$ DFOS signal region SR3L-DFOS-0J. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Efficiency_DFOS_0j.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,0.2985
152.5,22.5,0.1873
162.5,12.5,0.4724
175.0,0.0,0.2775
175.0,25.0,0.2252
177.5,47.5,0.4848
187.5,12.5,0.4425
187.5,37.5,0.3993
190.0,60.0,0.3863
200.0,0.0,0.6037
200.0,25.0,0.2976
200.0,50.0,0.32
202.5,72.5,0.3798
212.5,12.5,0.7566
212.5,37.5,0.2124
212.5,62.5,0.2387
215.0,85.0,0.6039
225.0,0.0,0.4759
225.0,25.0,0.5217
225.0,50.0,0.2791
225.0,75.0,0.5443
227.5,97.5,0.2018
237.5,12.5,0.0
237.5,37.5,0.2176
237.5,62.5,0.2957
237.5,87.5,0.6579
240.0,110.0,0.8749
250.0,0.0,0.3775
250.0,100.0,0.4407
250.0,25.0,0.2775
250.0,50.0,0.2022
250.0,75.0,0.5017
262.5,12.5,0.1978
262.5,37.5,0.4838
262.5,62.5,0.3666
262.5,87.5,0.6503
275.0,0.0,0.2613
275.0,25.0,0.7613
275.0,50.0,0.1683
275.0,75.0,0.5065
287.5,12.5,0.3006
287.5,37.5,0.2792
287.5,62.5,0.3896
300.0,0.0,0.0512
300.0,100.0,0.1781
300.0,25.0,0.5712
300.0,50.0,0.3358
300.0,75.0,0.5999
312.5,12.5,0.2349
325.0,0.0,0.3376
325.0,100.0,0.2389
325.0,25.0,0.3738
325.0,50.0,0.5273
325.0,75.0,0.3579
337.5,12.5,0.2339
350.0,0.0,0.5918
350.0,100.0,0.3209
350.0,25.0,0.4188
350.0,50.0,0.2647
350.0,75.0,0.1333
375.0,0.0,0.5595
375.0,25.0,0.2401
375.0,50.0,0.5767
375.0,75.0,0.2536
400.0,0.0,0.0
400.0,100.0,0.6532
400.0,25.0,0.6654
400.0,50.0,0.1696
400.0,75.0,0.0769
425.0,0.0,0.3852
425.0,100.0,0.7131
425.0,25.0,0.3602
425.0,50.0,0.9076
425.0,75.0,0.7939
450.0,0.0,0.6896
450.0,100.0,0.7106
450.0,25.0,0.2192
450.0,50.0,0.1545
450.0,75.0,0.0
475.0,0.0,1.0253
475.0,100.0,0.3657
475.0,25.0,0.3051
475.0,50.0,0.3541
475.0,75.0,0.2508
500.0,0.0,0.5689
500.0,25.0,0.3304
500.0,50.0,0.3763
500.0,75.0,0.1912
525.0,0.0,0.5537
525.0,25.0,0.382
525.0,50.0,0.4371
550.0,0.0,0.4502
550.0,25.0,0.2136
575.0,25.0,0.1354

