#: table_doi: 10.17182/hepdata.85726.v1/t59
#: name: Acceptance 3l SR3L-SFOS-0Jb
#: description: Acceptance for $3L$ SFOS signal region SR3L-SFOS-0Jb. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Acceptance_SFOS_0jb.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,6e-06
152.5,22.5,8e-06
162.5,12.5,1.2e-05
175.0,0.0,1.4e-05
175.0,25.0,1.7e-05
177.5,47.5,5e-06
187.5,12.5,2.1e-05
187.5,37.5,1.8e-05
190.0,60.0,1e-06
200.0,0.0,2.7e-05
200.0,25.0,2.2e-05
200.0,50.0,1.7e-05
202.5,72.5,1.5e-05
212.5,12.5,2.2e-05
212.5,37.5,2.6e-05
212.5,62.5,1.9e-05
215.0,85.0,1.9e-05
225.0,0.0,4.6e-05
225.0,25.0,2.9e-05
225.0,50.0,2.8e-05
225.0,75.0,2.9e-05
227.5,97.5,1.4e-05
237.5,12.5,6.2e-05
237.5,37.5,3.7e-05
237.5,62.5,4.2e-05
237.5,87.5,2.5e-05
240.0,110.0,1.1e-05
250.0,0.0,4.8e-05
250.0,100.0,2.8e-05
250.0,25.0,3.5e-05
250.0,50.0,4.3e-05
250.0,75.0,2.3e-05
262.5,12.5,5.4e-05
262.5,37.5,6.6e-05
262.5,62.5,5.9e-05
262.5,87.5,1.9e-05
275.0,0.0,4.9e-05
275.0,25.0,7.8e-05
275.0,50.0,7.3e-05
275.0,75.0,4.2e-05
287.5,12.5,8.2e-05
287.5,37.5,5.6e-05
287.5,62.5,7.7e-05
300.0,0.0,0.000114
300.0,100.0,3.7e-05
300.0,25.0,8.4e-05
300.0,50.0,8.9e-05
300.0,75.0,5.6e-05
312.5,12.5,9.7e-05
325.0,0.0,0.000131
325.0,100.0,3.2e-05
325.0,25.0,9.3e-05
325.0,50.0,8.5e-05
325.0,75.0,0.000136
337.5,12.5,0.000135
350.0,0.0,8.8e-05
350.0,100.0,7.3e-05
350.0,25.0,0.000171
350.0,50.0,0.000169
350.0,75.0,9.5e-05
375.0,0.0,0.00014
375.0,25.0,0.000121
375.0,50.0,0.000115
375.0,75.0,0.000117
400.0,0.0,0.000203
400.0,100.0,0.000183
400.0,25.0,0.000142
400.0,50.0,0.000171
400.0,75.0,0.000142
425.0,0.0,0.000194
425.0,100.0,0.000145
425.0,25.0,0.000222
425.0,50.0,0.000179
425.0,75.0,0.000147
450.0,0.0,0.000241
450.0,100.0,0.00012
450.0,25.0,0.00021
450.0,50.0,0.000106
450.0,75.0,0.000166
475.0,0.0,0.000234
475.0,100.0,7.8e-05
475.0,25.0,0.00011
475.0,50.0,0.000187
475.0,75.0,0.000183
500.0,0.0,0.000269
500.0,25.0,0.00016
500.0,50.0,0.000258
500.0,75.0,0.000191
525.0,0.0,0.000161
525.0,25.0,0.000144
525.0,50.0,0.000226
550.0,0.0,0.000199
550.0,25.0,0.000325
575.0,25.0,0.000252

