#: table_doi: 10.17182/hepdata.81626.v1/t24
#: name: Cross section UL 3
#: description: Derived exclusion limits for the wino-bino GGM model explored by the diphoton analysis. For each point in the wino-bino parameter space, the SR ($\mathrm{SR}^{\gamma\gamma}_{W-L}$ or $\mathrm{SR}^{\gamma\gamma}_{W-H}$) that provides the best expected sensitivity is used to estimate the exclusion likelihood. The model dependent upper limits on cross-section (fb) are shown by grey numbers for each signal point.
#: data_file: data24.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
#"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],X-section U.L.
300,100,89.07
400,200,47.4
500,10,19.09
500,50,16.63
500,100,19.84
500,300,10.34
500,400,8.838
500,450,7.52
500,490,4.493
600,10,6.49
600,50,7.07
600,200,5.984
600,400,4.529
600,500,4.198
600,550,2.87
600,590,0.596
700,10,3.321
700,50,3.512
700,100,3.301
700,300,2.877
700,500,2.457
700,600,2.702
700,650,1.921
700,690,1.477
800,10,2.256
800,50,2.136
800,200,2.151
800,400,1.886
800,600,1.745
800,700,1.601
800,750,1.347
800,790,0.425
900,10,1.655
900,50,1.566
900,100,1.569
900,300,1.619
900,500,1.326
900,700,1.228
900,800,1.194
900,850,1.067
900,890,0.392
1000,10,1.282
1000,50,1.269
1000,200,1.462
1000,400,0.673
1000,600,0.51
1000,800,0.495
1000,900,0.487
1000,950,0.405
1000,990,0.347
1100,10,1.112
1100,50,1.078
1100,100,1.138
1100,300,1.279
1100,500,0.614
1100,700,0.491
1100,900,0.462
1100,1000,0.44
1100,1050,0.384
1100,1090,0.338
1200,10,1.043
1200,50,0.977
1200,200,1.112
1200,400,1.122
1200,600,0.536
1200,800,0.456
1200,1000,0.455
1200,1100,0.419
1200,1150,0.374
1200,1190,0.354
1300,10,0.962
1300,50,0.951
1300,100,0.924
1300,300,1.158
1300,500,0.572
1300,700,0.5
1300,900,0.428
1300,1100,0.412
1300,1200,0.389
1300,1250,0.366
1300,1290,0.339
1400,50,0.901
1400,200,1.073
1400,400,1.04
1400,600,0.547
1400,800,0.453
1400,1000,0.43
1400,1200,0.434
1400,1300,0.419
1400,1350,0.365
1400,1390,0.338
1500,50,0.878
1500,100,0.849
1500,300,1.13
1500,500,1.05
1500,700,0.499
1500,900,0.429
1500,1100,0.428
1500,1300,0.42
1500,1400,0.397
1500,1450,0.375
1500,1490,0.334

