#: table_doi: 10.17182/hepdata.91127.v1/t17
#: name: Acceptance SR-low dMgeq100
#: description: Signal acceptance in SR-low, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} \geq 100$ GeV.
#: data_file: Acceptance_SR-low_dMgeq100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: ACC
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-low
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Acceptance [$10^{-3}$]
100.0,100.0,150.0,0.0,0.0,50.0,0.0489
150.0,150.0,200.0,1.0,0.0,50.0,0.8
200.0,200.0,250.0,1.0,0.0,50.0,1.5
250.0,250.0,300.0,1.0,0.0,50.0,2.38
350.0,350.0,400.0,0.0,0.0,50.0,4.35
400.0,400.0,450.0,0.0,0.0,50.0,5.31
500.0,500.0,550.0,0.0,0.0,50.0,6.85
150.0,150.0,200.0,50.0,50.0,100.0,0.263
200.0,200.0,250.0,50.0,50.0,100.0,1.17
250.0,250.0,300.0,50.0,50.0,100.0,2.04
350.0,350.0,400.0,50.0,50.0,100.0,3.81
450.0,450.0,500.0,50.0,50.0,100.0,6.03
500.0,500.0,550.0,50.0,50.0,100.0,7.04
200.0,200.0,250.0,100.0,100.0,150.0,0.327
250.0,250.0,300.0,100.0,100.0,150.0,1.68
300.0,300.0,350.0,100.0,100.0,150.0,2.63
350.0,350.0,400.0,100.0,100.0,150.0,3.98
400.0,400.0,450.0,100.0,100.0,150.0,4.87
500.0,500.0,550.0,100.0,100.0,150.0,7.02
250.0,250.0,300.0,150.0,150.0,200.0,0.412
300.0,300.0,350.0,150.0,150.0,200.0,1.99
350.0,350.0,400.0,150.0,150.0,200.0,3.0
450.0,450.0,500.0,150.0,150.0,200.0,5.64
500.0,500.0,550.0,150.0,150.0,200.0,6.22
300.0,300.0,350.0,200.0,200.0,250.0,0.488
350.0,350.0,400.0,200.0,200.0,250.0,1.82
400.0,400.0,450.0,200.0,200.0,250.0,3.06
500.0,500.0,550.0,200.0,200.0,250.0,5.98
350.0,350.0,400.0,250.0,250.0,300.0,0.568
450.0,450.0,500.0,250.0,250.0,300.0,3.53
400.0,400.0,450.0,300.0,300.0,350.0,0.595
500.0,500.0,550.0,300.0,300.0,350.0,3.75

