#: table_doi: 10.17182/hepdata.81626.v1/t35
#: name: Acceptance/Efficiency 6
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{W-H}$ for the signal models of the wino-bino GGM grid.
#: data_file: data35.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],ACCEPTANCE
300.0,100.0,0.00113
400.0,200.0,0.01231
500.0,10.0,0.01019
500.0,50.0,0.00976
500.0,100.0,0.01506
500.0,300.0,0.05873
500.0,400.0,0.10175
500.0,450.0,0.12711
500.0,490.0,0.14815
600.0,10.0,0.02154
600.0,50.0,0.02004
600.0,200.0,0.04918
600.0,500.0,0.19072
600.0,400.0,0.15167
600.0,550.0,0.22257
600.0,590.0,0.22935
700.0,10.0,0.03605
700.0,50.0,0.0375
700.0,100.0,0.04899
700.0,300.0,0.11681
700.0,500.0,0.22905
700.0,600.0,0.26259
700.0,650.0,0.27997
700.0,690.0,0.29508
800.0,10.0,0.05533
800.0,50.0,0.05524
800.0,200.0,0.10216
800.0,400.0,0.19822
800.0,600.0,0.28425
800.0,700.0,0.3127
800.0,750.0,0.32748
800.0,790.0,0.31647
900.0,10.0,0.07143
900.0,50.0,0.07238
900.0,100.0,0.08884
900.0,300.0,0.15991
900.0,500.0,0.26004
900.0,700.0,0.33116
900.0,800.0,0.35237
900.0,850.0,0.35392
900.0,890.0,0.34863
1000.0,10.0,0.09165
1000.0,50.0,0.09411
1000.0,200.0,0.1272
1000.0,400.0,0.21957
1000.0,600.0,0.30571
1000.0,800.0,0.34119
1000.0,900.0,0.36313
1000.0,950.0,0.37755
1000.0,990.0,0.37691
1100.0,10.0,0.10316
1100.0,50.0,0.1043
1100.0,100.0,0.11416
1100.0,300.0,0.17772
1100.0,500.0,0.2746
1100.0,700.0,0.3311
1100.0,900.0,0.36642
1100.0,1000.0,0.37929
1100.0,1050.0,0.38636
1100.0,1090.0,0.3872
1200.0,10.0,0.11465
1200.0,50.0,0.11469
1200.0,200.0,0.15047
1200.0,400.0,0.22852
1200.0,600.0,0.29841
1200.0,800.0,0.35575
1200.0,1000.0,0.37995
1200.0,1100.0,0.39242
1200.0,1150.0,0.39618
1200.0,1190.0,0.39273
1300.0,10.0,0.12302
1300.0,50.0,0.12994
1300.0,100.0,0.13754
1300.0,300.0,0.18676
1300.0,500.0,0.26836
1300.0,700.0,0.32526
1300.0,900.0,0.36731
1300.0,1100.0,0.3921
1300.0,1200.0,0.4043
1300.0,1250.0,0.40006
1300.0,1290.0,0.3973
1400.0,50.0,0.13981
1400.0,200.0,0.16156
1400.0,400.0,0.23705
1400.0,600.0,0.29689
1400.0,800.0,0.3495
1400.0,1000.0,0.37797
1400.0,1200.0,0.39948
1400.0,1300.0,0.40426
1400.0,1350.0,0.41186
1400.0,1390.0,0.40842
1500.0,50.0,0.15344
1500.0,100.0,0.16329
1500.0,300.0,0.18546
1500.0,500.0,0.26934
1500.0,700.0,0.32217
1500.0,900.0,0.36138
1500.0,1100.0,0.38365
1500.0,1300.0,0.4042
1500.0,1400.0,0.40772
1500.0,1450.0,0.40783
1500.0,1490.0,0.41956
