#: table_doi: 10.17182/hepdata.81626.v1/t31
#: name: Acceptance/Efficiency 2
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-H}$ for the signal models of the gluino-bino GGM grid.
#: data_file: data31.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],EFFICIENCY
1200.0,500.0,0.57394
1300.0,600.0,0.55606
1400.0,700.0,0.55965
1500.0,10.0,0.561
1500.0,50.0,0.57131
1500.0,200.0,0.58671
1500.0,500.0,0.54205
1500.0,800.0,0.56785
1500.0,1100.0,0.56804
1500.0,1300.0,0.59589
1500.0,1400.0,0.64377
1500.0,1450.0,0.71858
1500.0,1490.0,0.74007
1600.0,10.0,0.60696
1600.0,50.0,0.60632
1600.0,300.0,0.51484
1600.0,600.0,0.56462
1600.0,900.0,0.54146
1600.0,1200.0,0.58054
1600.0,1400.0,0.60245
1600.0,1500.0,0.65627
1600.0,1550.0,0.70888
1600.0,1590.0,0.75096
1700.0,10.0,0.61291
1700.0,50.0,0.59216
1700.0,200.0,0.4967
1700.0,400.0,0.54274
1700.0,700.0,0.57413
1700.0,1000.0,0.56555
1700.0,1300.0,0.56926
1700.0,1500.0,0.58886
1700.0,1600.0,0.64191
1700.0,1650.0,0.71809
1700.0,1690.0,0.74105
1800.0,10.0,0.55428
1800.0,50.0,0.58832
1800.0,200.0,0.58874
1800.0,800.0,0.55578
1800.0,1100.0,0.55969
1800.0,1400.0,0.56211
1800.0,1700.0,0.64589
1800.0,1600.0,0.60767
1800.0,1750.0,0.71278
1800.0,1790.0,0.75241
1900.0,10.0,0.62978
1900.0,50.0,0.67654
1900.0,300.0,0.54803
1900.0,600.0,0.55714
1900.0,900.0,0.56182
1900.0,1200.0,0.57902
1900.0,1500.0,0.56575
1900.0,1700.0,0.61026
1900.0,1800.0,0.621
1900.0,1850.0,0.7016
1900.0,1890.0,0.73244
2000.0,10.0,0.64322
2000.0,50.0,0.59148
2000.0,200.0,0.53473
2000.0,400.0,0.54186
2000.0,700.0,0.54827
2000.0,1000.0,0.57219
2000.0,1300.0,0.56954
2000.0,1600.0,0.56751
2000.0,1800.0,0.6016
2000.0,1900.0,0.66113
2000.0,1950.0,0.71637
2000.0,1990.0,0.74176
2100.0,10.0,0.605
2100.0,50.0,0.62913
2100.0,200.0,0.55143
2100.0,500.0,0.54056
2100.0,800.0,0.55613
2100.0,1100.0,0.5744
2100.0,1400.0,0.55856
2100.0,1700.0,0.5847
2100.0,1900.0,0.61451
2100.0,2090.0,0.70961
2100.0,2050.0,0.71573
2100.0,2000.0,0.66601
2200.0,10.0,0.59388
2200.0,50.0,0.5598
2200.0,300.0,0.51888
2200.0,600.0,0.56007
2200.0,900.0,0.56786
2200.0,1200.0,0.54681
2200.0,1500.0,0.56865
2200.0,1800.0,0.59411
2200.0,2000.0,0.59471
2200.0,2100.0,0.67368
2200.0,2150.0,0.72784
2200.0,2190.0,0.75922
2300.0,10.0,0.55581
2300.0,50.0,0.5855
2300.0,200.0,0.57203
2300.0,400.0,0.5516
2300.0,700.0,0.54997
2300.0,1000.0,0.56609
2300.0,1600.0,0.55738
2300.0,1300.0,0.54683
2300.0,1900.0,0.59599
2300.0,2100.0,0.60958
2300.0,2200.0,0.67192
2300.0,2250.0,0.71354
2300.0,2290.0,0.73859
2400.0,10.0,0.55128
2400.0,50.0,0.58342
2400.0,300.0,0.56808
2400.0,500.0,0.54357
2400.0,800.0,0.56398
2400.0,1050.0,0.55971
2400.0,1400.0,0.57322
2400.0,1700.0,0.5642
2400.0,2000.0,0.57049
2400.0,2200.0,0.61171
2400.0,2300.0,0.67964
2400.0,2350.0,0.72302
2400.0,2390.0,0.74834

