#: table_doi: 10.17182/hepdata.81626.v1/t35
#: name: Acceptance/Efficiency 6
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{W-H}$ for the signal models of the wino-bino GGM grid.
#: data_file: data35.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],EFFICIENCY
300.0,100.0,0.4449
400.0,200.0,0.48262
500.0,10.0,0.95635
500.0,50.0,0.70598
500.0,100.0,0.67936
500.0,300.0,0.65745
500.0,400.0,0.65801
500.0,450.0,0.68616
500.0,490.0,0.84454
600.0,10.0,0.81901
600.0,50.0,0.71303
600.0,200.0,0.7837
600.0,500.0,0.62988
600.0,400.0,0.61466
600.0,550.0,0.68368
600.0,590.0,0.73606
700.0,10.0,0.73417
700.0,50.0,0.70481
700.0,100.0,0.7561
700.0,300.0,0.65181
700.0,500.0,0.59549
700.0,600.0,0.55515
700.0,650.0,0.65517
700.0,690.0,0.76832
800.0,10.0,0.70271
800.0,50.0,0.74319
800.0,200.0,0.64741
800.0,400.0,0.64662
800.0,600.0,0.55194
800.0,700.0,0.59311
800.0,750.0,0.65045
800.0,790.0,0.75625
900.0,10.0,0.68979
900.0,50.0,0.72969
900.0,100.0,0.76941
900.0,300.0,0.65304
900.0,500.0,0.63612
900.0,700.0,0.60374
900.0,800.0,0.60758
900.0,850.0,0.67145
900.0,890.0,0.74668
1000.0,10.0,0.67704
1000.0,50.0,0.6777
1000.0,200.0,0.67562
1000.0,400.0,0.68615
1000.0,600.0,0.64382
1000.0,800.0,0.60638
1000.0,900.0,0.60024
1000.0,950.0,0.66903
1000.0,990.0,0.76629
1100.0,10.0,0.73012
1100.0,50.0,0.74003
1100.0,100.0,0.6986
1100.0,300.0,0.69383
1100.0,500.0,0.61655
1100.0,700.0,0.62604
1100.0,900.0,0.60106
1100.0,1000.0,0.6158
1100.0,1050.0,0.69309
1100.0,1090.0,0.76467
1200.0,10.0,0.69237
1200.0,50.0,0.75631
1200.0,200.0,0.6816
1200.0,400.0,0.69305
1200.0,600.0,0.6443
1200.0,800.0,0.62501
1200.0,1000.0,0.59279
1200.0,1100.0,0.62417
1200.0,1150.0,0.68491
1200.0,1190.0,0.73134
1300.0,10.0,0.70786
1300.0,50.0,0.74376
1300.0,100.0,0.74105
1300.0,300.0,0.68778
1300.0,500.0,0.66847
1300.0,700.0,0.64837
1300.0,900.0,0.64653
1300.0,1100.0,0.61436
1300.0,1200.0,0.64231
1300.0,1250.0,0.70105
1300.0,1290.0,0.75486
1400.0,50.0,0.70409
1400.0,200.0,0.71069
1400.0,400.0,0.6999
1400.0,600.0,0.6452
1400.0,800.0,0.66286
1400.0,1000.0,0.62838
1400.0,1200.0,0.59311
1400.0,1300.0,0.62305
1400.0,1350.0,0.69119
1400.0,1390.0,0.74835
1500.0,50.0,0.59898
1500.0,100.0,0.5889
1500.0,300.0,0.55255
1500.0,500.0,0.55588
1500.0,700.0,0.56189
1500.0,900.0,0.56174
1500.0,1100.0,0.53586
1500.0,1300.0,0.52616
1500.0,1400.0,1.02609
1500.0,1450.0,0.58907
1500.0,1490.0,0.63401

