#: table_doi: 10.17182/hepdata.81626.v1/t34
#: name: Acceptance/Efficiency 5
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{W-L}$ for the signal models of the wino-bino GGM grid.
#: data_file: data34.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV],ACCEPTANCE
300.0,100.0,0.00128
400.0,200.0,0.00988
500.0,10.0,0.01667
500.0,50.0,0.01737
500.0,100.0,0.01944
500.0,300.0,0.03324
500.0,400.0,0.04392
500.0,450.0,0.05094
500.0,490.0,0.05633
600.0,10.0,0.04333
600.0,50.0,0.04102
600.0,200.0,0.04834
600.0,400.0,0.07534
600.0,500.0,0.08181
600.0,550.0,0.0952
600.0,590.0,0.09992
700.0,10.0,0.08755
700.0,50.0,0.0853
700.0,100.0,0.08915
700.0,300.0,0.10188
700.0,500.0,0.12901
700.0,600.0,0.13473
700.0,650.0,0.15209
700.0,690.0,0.16591
800.0,10.0,0.1407
800.0,50.0,0.14042
800.0,200.0,0.14326
800.0,400.0,0.16048
800.0,600.0,0.20235
800.0,700.0,0.21254
800.0,750.0,0.2263
800.0,790.0,0.22705
900.0,10.0,0.19842
900.0,50.0,0.19942
900.0,100.0,0.19558
900.0,300.0,0.19627
900.0,500.0,0.23218
900.0,700.0,0.27318
900.0,800.0,0.28475
900.0,850.0,0.28425
900.0,890.0,0.28913
1000.0,10.0,0.25416
1000.0,50.0,0.25099
1000.0,200.0,0.22418
1000.0,400.0,0.2522
1000.0,600.0,0.29731
1000.0,800.0,0.31923
1000.0,900.0,0.32608
1000.0,950.0,0.33244
1000.0,990.0,0.33452
1100.0,10.0,0.29587
1100.0,50.0,0.28586
1100.0,100.0,0.29454
1100.0,300.0,0.25481
1100.0,500.0,0.30245
1100.0,700.0,0.33643
1100.0,900.0,0.36143
1100.0,1000.0,0.36012
1100.0,1050.0,0.36042
1100.0,1090.0,0.37277
1200.0,10.0,0.33135
1200.0,50.0,0.3211
1200.0,200.0,0.2893
1200.0,400.0,0.29243
1200.0,600.0,0.32869
1200.0,800.0,0.37332
1200.0,1000.0,0.3783
1200.0,1100.0,0.38572
1200.0,1150.0,0.3889
1200.0,1190.0,0.38299
1300.0,10.0,0.35545
1300.0,50.0,0.35142
1300.0,100.0,0.35989
1300.0,300.0,0.28999
1300.0,500.0,0.32418
1300.0,700.0,0.35846
1300.0,900.0,0.38654
1300.0,1100.0,0.40411
1300.0,1250.0,0.39743
1300.0,1200.0,0.40431
1300.0,1290.0,0.39665
1400.0,50.0,0.37793
1400.0,200.0,0.32639
1400.0,400.0,0.3271
1400.0,600.0,0.35143
1400.0,800.0,0.38481
1400.0,1000.0,0.40199
1400.0,1200.0,0.41342
1400.0,1300.0,0.41136
1400.0,1350.0,0.41577
1400.0,1390.0,0.40904
1500.0,50.0,0.40256
1500.0,100.0,0.42158
1500.0,300.0,0.31143
1500.0,500.0,0.34549
1500.0,700.0,0.3663
1500.0,900.0,0.39572
1500.0,1100.0,0.40743
1500.0,1300.0,0.41643
1500.0,1400.0,0.41616
1500.0,1450.0,0.41393
1500.0,1490.0,0.42541
