#: table_doi: 10.17182/hepdata.81626.v1/t33
#: name: Acceptance/Efficiency 4
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma\gamma}_{S-H}$ for the signal models of the squark-bino GGM grid.
#: data_file: data33.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],ACCEPTANCE
800.0,10.0,0.00677
800.0,50.0,0.00858
800.0,200.0,0.02123
800.0,400.0,0.05214
800.0,600.0,0.07869
800.0,700.0,0.08987
800.0,750.0,0.09607
800.0,790.0,0.09897
1000.0,10.0,0.02276
1000.0,50.0,0.02467
1000.0,300.0,0.08096
1000.0,600.0,0.15254
1000.0,800.0,0.18384
1000.0,900.0,0.20272
1000.0,950.0,0.19999
1000.0,990.0,0.20995
1200.0,10.0,0.05185
1200.0,50.0,0.0522
1200.0,200.0,0.09128
1200.0,500.0,0.19132
1200.0,800.0,0.26017
1200.0,1000.0,0.29682
1200.0,1100.0,0.30507
1200.0,1150.0,0.30359
1200.0,1190.0,0.30802
1300.0,10.0,0.06349
1300.0,50.0,0.05696
1300.0,300.0,0.13522
1300.0,600.0,0.23499
1300.0,900.0,0.30396
1300.0,1100.0,0.3258
1300.0,1200.0,0.32687
1300.0,1250.0,0.3388
1300.0,1290.0,0.33666
1400.0,10.0,0.07295
1400.0,50.0,0.07537
1400.0,200.0,0.10558
1400.0,400.0,0.18464
1400.0,700.0,0.27091
1400.0,1000.0,0.33028
1400.0,1200.0,0.35875
1400.0,1300.0,0.35716
1400.0,1350.0,0.36882
1400.0,1390.0,0.35775
1500.0,10.0,0.08087
1500.0,50.0,0.08182
1500.0,200.0,0.11834
1500.0,500.0,0.2281
1500.0,800.0,0.31425
1500.0,1100.0,0.36515
1500.0,1300.0,0.37972
1500.0,1400.0,0.38353
1500.0,1450.0,0.36479
1500.0,1490.0,0.37828
1600.0,10.0,0.09184
1600.0,300.0,0.15239
1600.0,600.0,0.27364
1600.0,900.0,0.33039
1600.0,1200.0,0.37165
1600.0,1500.0,0.3928
1600.0,1550.0,0.39547
1600.0,1590.0,0.39472
1700.0,10.0,0.10237
1700.0,50.0,0.09723
1700.0,200.0,0.11547
1700.0,400.0,0.18386
1700.0,700.0,0.30218
1700.0,1000.0,0.34973
1700.0,1300.0,0.39343
1700.0,1500.0,0.40604
1700.0,1600.0,0.40716
1700.0,1650.0,0.40377
1700.0,1690.0,0.4112
1800.0,10.0,0.10803
1800.0,50.0,0.10876
1800.0,200.0,0.12729
1800.0,500.0,0.24397
1800.0,1100.0,0.35685
1800.0,1400.0,0.39761
1800.0,1600.0,0.4096
1800.0,1700.0,0.41346
1800.0,1750.0,0.41453
1800.0,1790.0,0.41291
1900.0,10.0,0.11736
1900.0,50.0,0.10554
1900.0,300.0,0.15694
1900.0,600.0,0.26216
1900.0,900.0,0.33053
1900.0,1200.0,0.37316
1900.0,1500.0,0.41407
1900.0,1700.0,0.42187
1900.0,1800.0,0.41743
1900.0,1850.0,0.42765
1900.0,1890.0,0.41277
2000.0,10.0,0.12373
2000.0,50.0,0.11972
2000.0,200.0,0.131
2000.0,400.0,0.19066
2000.0,700.0,0.29586
2000.0,1000.0,0.3428
2000.0,1300.0,0.37394
2000.0,1600.0,0.40128
2000.0,1800.0,0.43039
2000.0,1900.0,0.42441
2000.0,1950.0,0.42618
2000.0,1990.0,0.4349
2100.0,10.0,0.1225
2100.0,50.0,0.12273
2100.0,300.0,0.15271
2100.0,500.0,0.23253
2100.0,800.0,0.31165
2100.0,1100.0,0.36175
2100.0,1400.0,0.39188
2100.0,1700.0,0.41569
2100.0,1900.0,0.42913
2100.0,2000.0,0.42758
2100.0,2050.0,0.42454
2100.0,2090.0,0.42994
