#: table_doi: 10.17182/hepdata.77891.v5/t63
#: name: Exclusion contour(exp.) 8  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the squark mass and the mass gap ratio x in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino or second lightest neutralino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$, or $\tilde{q} \rightarrow q \tilde{\chi}_{2}^{0} \rightarrow qq Z/h \tilde{\chi}_{1}^{0}$.
#: data_file: data63.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],X
1166.0,0.9506
1178.0,0.9497
1190.0,0.9487
1202.0,0.9479
1214.0,0.9479
1221.0,0.9473
1226.0,0.9441
1228.0,0.9428
1237.0,0.9383
1238.0,0.9375
1245.0,0.9338
1250.0,0.9309
1253.0,0.9293
1261.0,0.9248
1262.0,0.9243
1269.0,0.9203
1274.0,0.9177
1278.0,0.9158
1286.0,0.9112
1286.0,0.9111
1294.0,0.9067
1298.0,0.9045
1302.0,0.9022
1310.0,0.8979
1310.0,0.8977
1318.0,0.8932
1322.0,0.8912
1326.0,0.8887
1332.0,0.8842
1334.0,0.8828
1337.0,0.8797
1340.0,0.8752
1342.0,0.8707
1344.0,0.8662
1346.0,0.8617
1346.0,0.8612
1347.0,0.8572
1349.0,0.8527
1351.0,0.8482
1352.0,0.8437
1354.0,0.8392
1356.0,0.8347
1357.0,0.8302
1358.0,0.8283
1359.0,0.8257
1361.0,0.8212
1362.0,0.8167
1364.0,0.8122
1366.0,0.8077
1367.0,0.8032
1369.0,0.7987
1370.0,0.7954
1370.0,0.7942
1372.0,0.7897
1374.0,0.7852
1375.0,0.7807
1377.0,0.7762
1379.0,0.7717
1380.0,0.7672
1382.0,0.7628
1382.0,0.7627
1384.0,0.7582
1386.0,0.7537
1387.0,0.7492
1389.0,0.7447
1391.0,0.7402
1393.0,0.7356
1394.0,0.7327
1395.0,0.7311
1397.0,0.7266
1399.0,0.7221
1402.0,0.7176
1404.0,0.7131
1406.0,0.7088
1406.0,0.7086
1409.0,0.7041
1412.0,0.6996
1415.0,0.6951
1418.0,0.691
1418.0,0.6906
1422.0,0.6861
1425.0,0.6816
1427.0,0.6771
1427.0,0.6726
1426.0,0.6681
